initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2021-07-02,2021-11-24,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,P1,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,202,,,,,,,,,0000000847189719,MCPCLNT001,2021-11-24,2021-11-24 04:02:04.000,2021-11-24,2021-11-24 10:02:39.000,2021-11-24
2021-07-02,2021-11-24,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,P1,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,101,,,,,,,,,0000000847189719,MCPCLNT001,2021-11-24,2021-11-24 04:02:04.000,2021-11-24,2021-11-24 10:02:39.000,2021-11-24
2021-07-02,2021-11-24,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,P1,0.0000,MC,0.0000,07,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,E,,N,,,,105,,,,,,,,,0000000847189719,MCPCLNT001,2021-11-24,2021-11-24 04:02:04.000,2021-11-24,2021-11-24 10:02:39.000,2021-11-24
2021-07-02,2021-07-02,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,120,PD,0.0000,TB,0.0000,00,,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,,,,,,,E,,N,,,,202,,,,,,,,,0000000804784940,MCPCLNT001,2021-07-03,2021-07-03 04:01:02.000,2021-07-03,2021-07-03 09:02:55.000,2021-07-03
2021-07-02,2021-07-02,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,120,PD,0.0000,TB,0.0000,00,,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,,,,,,,E,,N,,,,105,,,,,,,,,0000000804784940,MCPCLNT001,2021-07-03,2021-07-03 04:01:02.000,2021-07-03,2021-07-03 09:02:55.000,2021-07-03
2021-07-02,2021-07-02,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,120,PD,0.0000,TB,0.0000,00,,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,,,,,,,E,,N,,,,101,,,,,,,,,0000000804784940,MCPCLNT001,2021-07-03,2021-07-03 04:01:02.000,2021-07-03,2021-07-03 09:02:55.000,2021-07-03
2021-07-02,2022-03-29,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,594,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,202,,,,,,,,,0000000884337659,MCPCLNT001,2022-03-30,2022-03-30 04:02:17.000,2022-03-30,2022-03-30 09:03:44.000,2022-03-30
2021-07-02,2022-03-07,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,1.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,101,,,,,,,,,0000000877441864,MCPCLNT001,2022-03-08,2022-03-08 04:01:21.000,2022-03-08,2022-03-08 10:10:58.000,2022-03-08
2021-07-02,2022-03-07,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,1.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,105,SPH,SPH,,,,,,,0000000877441864,MCPCLNT001,2022-03-08,2022-03-08 04:01:21.000,2022-03-08,2022-03-08 10:10:58.000,2022-03-08
2021-07-02,2022-03-29,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,594,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,101,,,,,,,,,0000000884337659,MCPCLNT001,2022-03-30,2022-03-30 04:02:17.000,2022-03-30,2022-03-30 09:03:44.000,2022-03-30
2021-07-02,2022-03-29,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,594,ZL,0.0000,MC,0.0000,14,2,,1,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,105,SPH,SPH,,,,,,,0000000884337659,MCPCLNT001,2022-03-30,2022-03-30 04:02:17.000,2022-03-30,2022-03-30 09:03:44.000,2022-03-30
2021-07-02,2022-03-07,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,530,ZL,0.0000,MC,0.0000,14,2,,1,1,1.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,202,,,,,,,,,0000000877441864,MCPCLNT001,2022-03-08,2022-03-08 04:01:21.000,2022-03-08,2022-03-08 10:10:58.000,2022-03-08
2021-07-02,2022-03-15,5A11EC4-03,5A11EC403,5A11EC4,03,ZB RE HLK SEITENWAND ECE LCI,ASSY RH HLK SIDE PANEL ECE LCI,MC10,594,ZL,0.0000,MC,0.0000,14,2,,1,1,1.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1665.0000,1665.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,N,,,,202,,,,,,,,,0000000879923100,MCPCLNT001,2022-03-16,2022-03-16 04:02:47.000,2022-03-16,2022-03-16 09:11:29.000,2022-03-16
