initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
9/11/2020,12/27/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,856632745,MCPCLNT001,12/28/2021,14:21.0,12/28/2021,32:42.0,12/28/2021
9/11/2020,12/27/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1Q2,,,,,,,856632745,MCPCLNT001,12/28/2021,14:21.0,12/28/2021,32:42.0,12/28/2021
9/11/2020,4/29/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1Q2,,,,,,,784945361,MCPCLNT001,4/30/2021,00:35.0,5/25/2021,20:44.0,5/25/2021
9/11/2020,5/4/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,786400519,MCPCLNT001,5/5/2021,00:50.0,5/25/2021,35:15.0,5/25/2021
9/11/2020,4/29/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,784945361,MCPCLNT001,4/30/2021,00:35.0,5/25/2021,20:44.0,5/25/2021
9/11/2020,5/4/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1Q2,,,,,,,786400519,MCPCLNT001,5/5/2021,00:50.0,5/25/2021,35:15.0,5/25/2021
9/11/2020,6/29/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,202,,,,,,,,,803520050,MCPCLNT001,6/29/2021,00:14.0,6/29/2021,03:12.0,6/29/2021
9/11/2020,6/29/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,A,,S,,,,105,1R1,1Q2,,,,,,,803520050,MCPCLNT001,6/29/2021,00:14.0,6/29/2021,03:12.0,6/29/2021
9/11/2020,12/28/2020,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,96,,,,,,A,,S,,,,202,,,,,,,,,756638978,MCPCLNT001,1/14/2021,35:35.0,5/24/2021,29:13.0,5/24/2021
9/11/2020,1/20/2021,7417886-07,741788607,7417886,7,ZB RE DACHRELING SILBER SATINIERT,ASSY RH ROOF RAILS SILVER SATINED,MC10,114,P1,80,MC,0,2,2,,3,1,120,EA,0,0,0,,0,,2,2,GRM,0,PRODPART,,,,,,,F,,0,0,96,,,,,,A,,S,,,,105,1R1,1Q2,,,,,,,758282529,MCPCLNT001,1/21/2021,24:03.0,5/24/2021,25:36.0,5/24/2021
