initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2020-09-16,2022-05-13,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,773,P1,9.0000,MC,0.0000,05,2,,5,2,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,I,,,,202,,,,,,,,,0000000906123375,MCPCLNT001,2022-05-14,2022-05-14 04:00:59.000,2022-05-14,2022-05-14 09:02:39.000,2022-05-14
2020-09-16,2022-05-13,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,773,P1,9.0000,MC,0.0000,05,2,,5,2,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,I,,,,105,SSP,SSP,,,,,,,0000000906123375,MCPCLNT001,2022-05-14,2022-05-14 04:00:59.000,2022-05-14,2022-05-14 09:02:39.000,2022-05-14
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,093,,,,,,D,,S,,,,202,,,,,,,,,0000000756986531,MCPCLNT001,2021-01-15,2021-01-15 08:32:11.000,2021-05-24,2021-05-24 19:14:56.000,2021-05-24
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,105,SSP,SSP,,,,,,,0000000768673793,MCPCLNT001,2021-03-01,2021-03-01 14:55:18.000,2021-05-24,2021-05-24 19:20:33.000,2021-05-24
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,093,,,,,,D,,S,,,,105,SSP,SSP,,,,,,,0000000756986531,MCPCLNT001,2021-01-15,2021-01-15 08:32:11.000,2021-05-24,2021-05-24 19:14:56.000,2021-05-24
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,S,,,,202,,,,,,,,,0000000768673793,MCPCLNT001,2021-03-01,2021-03-01 14:55:18.000,2021-05-24,2021-05-24 19:20:33.000,2021-05-24
2020-09-16,2022-05-14,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,773,P1,9.0000,MC,0.0000,05,2,,5,2,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,I,,,,105,SSP,SSP,,,,,,,0000000906568645,MCPCLNT001,2022-05-15,2022-05-15 04:00:36.000,2022-05-15,2022-05-15 09:02:15.000,2022-05-15
2020-09-16,2022-05-14,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,773,P1,9.0000,MC,0.0000,05,2,,5,2,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,D,,I,,,,202,,,,,,,,,0000000906568645,MCPCLNT001,2022-05-15,2022-05-15 04:00:36.000,2022-05-15,2022-05-15 09:02:15.000,2022-05-15
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,093,,,,,,D,,S,,,,105,SSP,SSP,,,,,,,0000000756650601,MCPCLNT001,2021-01-14,2021-01-14 07:59:51.000,2021-05-24,2021-05-24 19:18:06.000,2021-05-24
2020-09-16,2020-12-17,8075177-10,807517710,8075177,10,ZB LI ZIERGITTER SEITENWAND VORN X5 M,ASSY LH ORNAMENTAL GRILLE SIDE PANEL FRT,MC10,177,P1,9.0000,MC,0.0000,04,2,,5,2,8.0000,EA,0.0000,0.0000,0.0000,,0.0000,,193.0000,193.0000,GRM,0,PRODPART,,,,,,,F,,0,0,093,,,,,,D,,S,,,,202,,,,,,,,,0000000756650601,MCPCLNT001,2021-01-14,2021-01-14 07:59:51.000,2021-05-24,2021-05-24 19:18:06.000,2021-05-24
