initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2021-03-19,2021-04-05,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,060,,,,,,E,,S,,,,105,5R1,5BK,,,,,,,0000000779078704,MCPCLNT001,2021-04-08,2021-04-08 12:16:51.000,2021-05-25,2021-05-25 04:16:43.000,2021-05-25
2021-03-19,2021-04-05,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,060,,,,,,E,,S,,,,202,,,,,,,,,0000000779078704,MCPCLNT001,2021-04-08,2021-04-08 12:16:51.000,2021-05-25,2021-05-25 04:16:43.000,2021-05-25
2021-03-19,2021-06-23,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,E,,S,,,,105,5R1,5BK,,,,,,,0000000802008482,MCPCLNT001,2021-06-24,2021-06-24 04:00:49.000,2021-06-24,2021-06-24 09:02:53.000,2021-06-24
2021-03-19,2021-06-23,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,E,,S,,,,202,,,,,,,,,0000000802008482,MCPCLNT001,2021-06-24,2021-06-24 04:00:49.000,2021-06-24,2021-06-24 09:02:53.000,2021-06-24
2021-03-19,2021-10-04,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,E,,S,,,,202,,,,,,,,,0000000831837979,MCPCLNT001,2021-10-05,2021-10-05 04:01:12.000,2021-10-05,2021-10-05 09:03:12.000,2021-10-05
2021-03-19,2021-10-04,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,E,,S,,,,105,5R1,5BK,,,,,,,0000000831837979,MCPCLNT001,2021-10-05,2021-10-05 04:01:12.000,2021-10-05,2021-10-05 09:03:12.000,2021-10-05
2021-03-19,2022-03-24,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,A,,S,,,,202,,,,,,,,,0000000882774623,MCPCLNT001,2022-03-25,2022-03-25 04:04:29.000,2022-03-25,2022-03-25 09:06:34.000,2022-03-25
2021-03-19,2022-03-24,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,04,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,A,,S,,,,105,5R1,5BK,,,,,,,0000000882774623,MCPCLNT001,2022-03-25,2022-03-25 04:04:29.000,2022-03-25,2022-03-25 09:06:34.000,2022-03-25
2021-03-19,2022-01-12,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,05,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,A,,S,,,,202,,,,,,,,,0000000861248937,MCPCLNT001,2022-01-13,2022-01-13 04:10:39.000,2022-01-13,2022-01-13 13:03:24.000,2022-01-13
2021-03-19,2022-01-12,9470159-04,947015904,9470159,04,ZB MNK B48 RDE2 NAFTA R2,ASSY UNDERHOOD CATALYST B48 RDE2 NAFTA R,MC10,M11,P1,30.0000,MC,0.0000,05,2,,8,7,120.0000,EA,0.0000,0.0000,0.0000,,0.0000,,4898.0000,4898.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,A,,S,,,,105,5R1,5BK,,,,,,,0000000861248937,MCPCLNT001,2022-01-13,2022-01-13 04:10:39.000,2022-01-13,2022-01-13 13:03:24.000,2022-01-13
