mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,5A11ED102,9,11/30/21,7:21:52,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/03/21,19
1,5A11ED102,6,11/30/21,7:21:52,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/03/21,19
1,5A11ED102,2,12/01/21,7:21:59,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,2,11/29/21,4:07:09,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,9,12/01/21,7:21:59,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/03/21,19
1,5A11ED102,2,12/02/21,7:22:05,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,2,11/22/21,4:07:27,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,2,11/20/21,7:21:45,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,2,11/30/21,7:21:52,11/19/21,ShLine,0200207299/00005,,7,1,1,12/03/21,19
1,5A11ED102,6,12/01/21,7:21:59,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/03/21,19
1,5A11ED102,6,12/02/21,7:22:05,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/03/21,19
1,5A11ED102,9,12/02/21,7:22:05,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/03/21,19
1,5A11ED102,2,12/03/21,7:22:19,11/19/21,ShLine,0200207299/00005,,7,1,1,12/05/21,9
1,5A11ED102,6,12/03/21,7:22:19,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/05/21,9
1,5A11ED102,9,12/03/21,7:22:19,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/05/21,9
1,5A11ED102,2,12/04/21,7:22:23,11/19/21,ShLine,0200207299/00005,,7,1,1,12/06/21,9
1,5A11ED102,6,12/04/21,7:22:23,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/06/21,9
1,5A11ED102,9,12/04/21,7:22:23,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/06/21,9
1,5A11ED102,2,12/06/21,4:07:07,11/19/21,ShLine,0200207299/00005,,7,1,1,12/08/21,9
1,5A11ED102,6,12/06/21,4:07:07,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,5,12/08/21,9
1,5A11ED102,9,12/06/21,4:07:07,01/22/22,ShLine,0200209877/00001,01/28/22,15,3,8,12/08/21,9
1,5A11ED102,8,12/07/21,7:21:51,01/22/22,ShLine,0200209877/00001,01/13/22,10,3,5,12/09/21,9
1,5A11ED102,2,12/07/21,7:21:51,11/19/21,ShLine,0200207299/00005,,7,1,1,12/09/21,9
1,5A11ED102,5,12/07/21,7:21:51,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,2,12/09/21,9
1,5A11ED102,6,12/07/21,7:21:51,01/21/22,ShLine,0200210568/00001,01/13/22,10,1,3,12/09/21,9
1,5A11ED102,2,12/08/21,7:21:40,11/19/21,ShLine,0200207299/00005,,7,1,1,12/10/21,9
1,5A11ED102,5,12/08/21,7:21:40,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,2,12/10/21,9
1,5A11ED102,6,12/08/21,7:21:40,01/21/22,ShLine,0200210568/00001,01/13/22,10,1,3,12/10/21,9
1,5A11ED102,8,12/08/21,7:21:40,01/22/22,ShLine,0200209877/00001,01/13/22,10,3,5,12/10/21,9
1,5A11ED102,2,12/09/21,7:21:54,11/19/21,ShLine,0200207299/00005,,7,1,1,12/11/21,9
1,5A11ED102,8,12/09/21,7:21:54,01/22/22,ShLine,0200209877/00001,01/13/22,10,3,5,12/11/21,9
1,5A11ED102,6,12/09/21,7:21:54,01/21/22,ShLine,0200210568/00001,01/13/22,10,1,3,12/11/21,9
1,5A11ED102,5,12/09/21,7:21:54,01/14/22,ShLine,0200209876/00001,01/06/22,10,1,2,12/11/21,9
