mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,945127407,2,12/18/21,7:21:23,12/17/21,ShLine,0200208205/00002,,7,2,2,12/20/21,9
1,945127407,2,12/20/21,4:06:21,12/17/21,ShLine,0200208205/00002,,7,2,2,12/22/21,9
1,945127407,2,12/21/21,7:21:29,12/20/21,SchAgr,F3MQFK3/00001*,,7,12,12,12/23/21,9
1,945127407,3,03/04/22,7:22:04,03/04/22,SchAgr,F3MQFK3/00001*,03/18/22,15,3,13,03/06/22,9
1,945127407,2,03/04/22,7:22:04,03/04/22,SchAgr,F3MQFK3/00001*,03/18/22,15,1,10,03/06/22,9
1,945127407,4,03/04/22,7:22:04,03/04/22,SchAgr,F3MQFK3/00001*,03/18/22,15,1,14,03/06/22,9
1,945127407,2,03/05/22,7:21:41,03/04/22,ShipNt,0185715502/F3MQFK3,03/18/22,15,5,14,03/07/22,9
1,945127407,0,03/11/22,7:21:17,03/11/22,SafeSt,SafetyStock,,,5.000-,2,03/13/22,9
1,945127407,2,03/11/22,7:21:17,03/21/22,SchAgr,F3MQFK3/00001*,03/18/22,10,6,8,03/13/22,9
1,945127407,2,03/12/22,7:21:24,03/21/22,SchAgr,F3MQFK3/00001*,03/18/22,10,6,8,03/14/22,9
1,945127407,0,03/12/22,7:21:24,03/12/22,SafeSt,SafetyStock,,,5.000-,2,03/14/22,9
1,945127407,0,03/14/22,4:06:51,03/14/22,SafeSt,SafetyStock,,,5.000-,2,03/16/22,9
1,945127407,2,03/14/22,4:06:51,03/21/22,SchAgr,F3MQFK3/00001*,03/18/22,10,6,8,03/16/22,9
1,945127407,0,03/15/22,7:21:24,03/15/22,SafeSt,SafetyStock,,,5.000-,2,03/17/22,9
1,945127407,2,03/15/22,7:21:24,03/21/22,SchAgr,F3MQFK3/00001*,03/18/22,10,6,8,03/17/22,9
1,945127407,5,03/16/22,7:22:19,03/23/22,SchAgr,F3MQFK3/00001*,03/04/22,10,7,6,03/18/22,9
1,945127407,2,03/16/22,7:22:19,03/18/22,ShipNt,0185738854/F3MQFK3,03/16/22,10,6,1,03/18/22,9
1,945127407,1,03/16/22,7:22:19,03/16/22,Stock,,,96,7,7,03/18/22,9
1,945127407,0,03/16/22,7:22:19,03/16/22,SafeSt,SafetyStock,,,12.000-,5.000-,03/18/22,9
1,945127407,2,03/17/22,7:21:34,03/18/22,ShipNt,0185738854/F3MQFK3,03/04/22,10,6,6,03/19/22,9
1,945127407,5,03/17/22,7:21:34,03/25/22,SchAgr,F3MQFK3/00001*,03/18/22,10,3,7,03/19/22,9
1,945127407,2,03/18/22,7:21:09,03/18/22,ShipNt,0185738854/F3MQFK3,03/04/22,10,6,6,03/20/22,9
1,945127407,5,03/18/22,7:21:09,03/25/22,SchAgr,F3MQFK3/00001*,03/18/22,10,3,7,03/20/22,9
1,945127407,5,03/19/22,7:21:34,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/21/22,9
1,945127407,4,03/19/22,7:21:34,03/25/22,SchAgr,F3MQFK3/00001*,03/18/22,10,3,7,03/21/22,9
1,945127407,4,03/21/22,4:07:00,03/25/22,SchAgr,F3MQFK3/00001*,03/18/22,10,3,7,03/23/22,9
1,945127407,5,03/21/22,4:07:00,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/23/22,9
1,945127407,3,03/22/22,7:21:13,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/24/22,9
1,945127407,2,03/22/22,7:21:13,03/25/22,SchAgr,F3MQFK3/00001*,03/18/22,10,3,7,03/24/22,9
1,945127407,2,03/23/22,7:21:18,03/25/22,ShipNt,0185754335/F3MQFK3,03/18/22,10,3,7,03/25/22,9
1,945127407,3,03/23/22,7:21:18,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/25/22,9
1,945127407,3,03/24/22,7:21:02,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/26/22,9
1,945127407,2,03/24/22,7:21:02,03/25/22,ShipNt,0185754335/F3MQFK3,03/18/22,10,3,7,03/26/22,9
1,945127407,3,03/25/22,7:21:27,04/01/22,SchAgr,F3MQFK3/00001*,03/30/22,10,2,9,03/27/22,9
1,945127407,2,03/25/22,7:21:27,03/25/22,ShipNt,0185754335/F3MQFK3,03/18/22,10,3,7,03/27/22,9
1,945127407,2,03/26/22,7:21:22,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,03/28/22,9
1,945127407,2,03/28/22,4:06:55,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,03/30/22,9
1,945127407,2,03/30/22,7:21:29,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,04/04/22,14
1,945127407,2,03/29/22,7:21:29,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,04/04/22,14
1,945127407,2,04/01/22,7:21:31,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,04/04/22,14
1,945127407,2,03/31/22,7:21:16,04/01/22,ShipNt,0185765028/F3MQFK3,03/30/22,10,2,9,04/04/22,14
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/02/22,15
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/02/22,15
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/03/22,9
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/03/22,9
1,945127407,2,05/02/22,4:06:45,04/29/22,ShLine,0200219645/00002,,7,2,2,05/04/22,9
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/04/22,9
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/04/22,9
1,945127407,3,05/02/22,4:06:45,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/04/22,9
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/05/22,9
1,945127407,3,05/03/22,7:21:36,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/05/22,9
1,945127407,2,05/03/22,7:21:36,04/29/22,ShLine,0200219645/00002,,7,2,2,05/05/22,9
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/05/22,9
1,945127407,2,05/04/22,7:21:24,04/29/22,ShLine,0200219645/00002,,7,2,2,05/06/22,9
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/06/22,9
1,945127407,2,05/03/22,7:21:36,04/29/22,ShLine,0200219645/00002,,7,2,2,05/06/22,9
1,945127407,3,05/04/22,7:21:24,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/06/22,9
1,945127407,3,05/03/22,7:21:36,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/06/22,9
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/06/22,9
1,945127407,3,05/04/22,7:21:24,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/07/22,9
1,945127407,2,05/05/22,7:21:02,04/29/22,ShLine,0200219645/00002,,7,2,2,05/07/22,9
1,945127407,2,05/04/22,7:21:24,04/29/22,ShLine,0200219645/00002,,7,2,2,05/07/22,9
1,945127407,2,04/30/22,7:21:19,04/29/22,ShLine,0200219645/00002,,7,2,2,05/07/22,9
1,945127407,2,05/03/22,7:21:36,04/29/22,ShLine,0200219645/00002,,7,2,2,05/07/22,9
1,945127407,3,05/05/22,7:21:02,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/07/22,9
1,945127407,3,05/03/22,7:21:36,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/07/22,9
1,945127407,3,04/30/22,7:21:19,05/03/22,ShipNt,0185845156/F3MQFK3,05/13/22,15,2,4,05/07/22,9
