mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,809198305,0,12/07/21,7:19:52,12/07/21,SafeSt,SafetyStock,,,40.000-,273,12/09/21,9
1,809198305,927,12/07/21,7:19:52,12/22/21,SchAgr,0003778186/00001,12/21/21,30,60,248,12/09/21,9
1,809198305,0,12/06/21,4:05:07,12/06/21,SafeSt,SafetyStock,,,40.000-,213,12/08/21,9
1,809198305,216,12/06/21,4:05:07,12/08/21,SchAgr,0003778186/00001*,12/07/21,10,10,151,12/08/21,9
1,809198305,288,04/02/22,7:20:21,04/06/22,SchAgr,0003778186/00001,04/05/22,30,10,407,04/04/22,14
1,809198305,0,12/18/21,7:20:10,12/18/21,SafeSt,SafetyStock,,,40.000-,224,12/20/21,9
1,809198305,0,12/10/21,7:20:16,12/10/21,SafeSt,SafetyStock,,,40.000-,306,12/12/21,9
1,809198305,0,12/15/21,7:19:44,12/15/21,SafeSt,SafetyStock,,,40.000-,295,12/17/21,9
1,809198305,0,12/14/21,7:19:44,12/14/21,SafeSt,SafetyStock,,,40.000-,230,12/16/21,9
1,809198305,65,12/14/21,7:19:44,12/15/21,SchAgr,0003778186/00001*,12/14/21,10,110,288,12/16/21,9
1,809198305,143,12/14/21,7:19:44,12/16/21,SchAgr,0003778186/00001*,12/15/21,10,110,321,12/16/21,9
1,809198305,0,12/13/21,4:05:16,12/13/21,SafeSt,SafetyStock,,,40.000-,187,12/15/21,9
1,809198305,130,12/13/21,4:05:16,12/14/21,SchAgr,0003778186/00001*,12/13/21,10,100,230,12/15/21,9
1,809198305,190,12/13/21,4:05:16,12/15/21,SchAgr,0003778186/00001*,12/14/21,10,10,181,12/15/21,9
1,809198305,271,03/08/22,7:19:47,03/11/22,SchAgr,0003778186/00001*,03/12/22,15,160,551,03/10/22,9
1,809198305,377,03/08/22,7:19:47,03/12/22,SchAgr,0003778186/00001*,03/15/22,15,160,606,03/10/22,9
1,809198305,235,03/22/22,7:20:01,03/24/22,SchAgr,0003778186/00001*,03/23/22,10,160,599,03/24/22,9
1,809198305,321,03/22/22,7:20:01,03/25/22,SchAgr,0003778186/00001,03/24/22,30,30,545,03/24/22,9
1,809198305,0,12/20/21,4:05:12,12/20/21,SafeSt,SafetyStock,,,40.000-,125,12/22/21,9
1,809198305,0,12/09/21,7:19:53,12/09/21,SafeSt,SafetyStock,,,40.000-,287,12/11/21,9
1,809198305,0,12/16/21,7:20:08,12/16/21,SafeSt,SafetyStock,,,40.000-,222,12/18/21,9
1,809198305,0,12/17/21,7:20:06,12/17/21,SafeSt,SafetyStock,,,40.000-,304,12/19/21,9
1,809198305,301,12/17/21,7:20:06,12/21/21,SchAgr,0003778186/00001,12/20/21,30,10,117,12/19/21,9
1,809198305,0,12/08/21,7:19:43,12/08/21,SafeSt,SafetyStock,,,40.000-,264,12/10/21,9
1,809198305,0,12/03/21,7:20:05,12/03/21,SafeSt,SafetyStock,,,40.000-,314,12/05/21,9
1,809198305,454,03/03/22,7:19:52,03/07/22,SchAgr,0003778186/00001*,03/08/22,15,100,442,03/05/22,9
1,809198305,303,02/26/22,7:21:04,03/02/22,SchAgr,0003778186/00001,03/01/22,30,10,299,02/28/22,9
1,809198305,0,01/04/22,7:19:47,01/04/22,SafeSt,SafetyStock,,,40.000-,315,01/06/22,9
1,809198305,0,01/07/22,7:20:07,01/07/22,SafeSt,SafetyStock,,,40.000-,339,01/09/22,9
1,809198305,0,01/03/22,4:05:17,01/03/22,SafeSt,SafetyStock,,,40.000-,236,01/05/22,9
