mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,747096504,234,11/29/21,4:03:57,12/01/21,SchAgr,0003536617/00001*,11/30/21,10,96,580,12/03/21,19
1,747096504,113,12/02/21,7:18:41,12/03/21,SchAgr,0003536617/00001*,12/02/21,10,288,716,12/03/21,19
1,747096504,107,10/26/21,7:19:10,10/27/21,SchAgr,,,,,,12/03/21,19
1,747096504,244,11/30/21,7:18:44,12/02/21,SchAgr,0003536617/00001*,11/30/21,10,96,549,12/03/21,19
1,747096504,123,11/22/21,4:04:01,11/23/21,SchAgr,0003536617/00001*,11/22/21,10,96,547,12/03/21,19
1,747096504,240,10/26/21,7:19:10,10/28/21,SchAgr,,,,,,12/03/21,19
1,747096504,363,10/30/21,7:21:14,11/03/21,SchAgr,,,,,,12/03/21,19
1,747096504,96,10/30/21,7:21:14,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,242,10/27/21,7:18:53,10/29/21,SchAgr,,,,,,12/03/21,19
1,747096504,239,11/19/21,7:18:36,11/22/21,SchAgr,0003536617/00001*,11/20/21,10,96,566,12/03/21,19
1,747096504,271,11/01/21,4:06:18,11/03/21,SchAgr,,,,,,12/03/21,19
1,747096504,381,10/25/21,4:04:26,10/28/21,SchAgr,,,,,,12/03/21,19
1,747096504,596,10/26/21,7:19:10,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,477,10/27/21,7:18:53,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,351,10/29/21,7:19:13,11/02/21,SchAgr,,,,,,12/03/21,19
1,747096504,115,11/30/21,7:18:44,12/01/21,SchAgr,0003536617/00001*,11/30/21,10,96,581,12/03/21,19
1,747096504,252,11/10/21,7:18:42,11/12/21,SchAgr,0003536617/00001*,11/11/21,10,288,720,12/03/21,19
1,747096504,539,11/01/21,4:06:18,11/05/21,SchAgr,,,,,,12/03/21,19
1,747096504,363,10/26/21,7:19:10,10/29/21,SchAgr,,,,,,12/03/21,19
1,747096504,218,10/29/21,7:19:13,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,374,11/20/21,7:18:28,11/24/21,SchAgr,0003536617/00001*,11/23/21,10,144,546,12/03/21,19
1,747096504,233,11/20/21,7:18:28,11/23/21,SchAgr,0003536617/00001*,11/22/21,10,96,542,12/03/21,19
1,747096504,250,10/25/21,4:04:26,10/27/21,SchAgr,,,,,,12/03/21,19
1,747096504,97,10/30/21,7:21:14,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,369,11/30/21,7:18:44,12/03/21,SchAgr,0003536617/00001*,11/30/21,10,288,713,12/03/21,19
1,747096504,242,12/01/21,7:18:39,12/03/21,SchAgr,0003536617/00001*,12/02/21,10,288,713,12/03/21,19
1,747096504,362,11/19/21,7:18:36,11/23/21,SchAgr,0003536617/00001*,11/22/21,10,96,541,12/03/21,19
1,747096504,344,10/28/21,7:18:56,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,117,11/11/21,7:18:35,11/12/21,SchAgr,0003536617/00001*,11/11/21,10,288,727,12/03/21,19
1,747096504,345,10/28/21,7:18:56,11/01/21,SchAgr,,,,,,12/03/21,19
1,747096504,604,10/22/21,7:19:09,10/28/21,SchAgr,,,,,,12/03/21,19
