mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,748948206,0,11/11/21,7:18:50,11/11/21,SafeSt,SafetyStock,,,15.000-,23,12/03/21,19
1,748948206,0,11/02/21,7:21:39,11/02/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/16/21,7:18:51,11/16/21,SafeSt,SafetyStock,,,15.000-,53,12/03/21,19
1,748948206,0,10/29/21,7:19:29,10/29/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,12/01/21,7:18:54,12/01/21,SafeSt,SafetyStock,,,15.000-,25,12/03/21,19
1,748948206,0,11/08/21,4:04:33,11/08/21,SafeSt,SafetyStock,,,15.000-,25,12/03/21,19
1,748948206,0,10/22/21,7:19:24,10/22/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,10/26/21,7:19:26,10/26/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/22/21,4:04:16,11/22/21,SafeSt,SafetyStock,,,15.000-,41,12/03/21,19
1,748948206,0,11/15/21,4:04:04,11/15/21,SafeSt,SafetyStock,,,15.000-,53,12/03/21,19
1,748948206,0,11/04/21,7:20:59,11/04/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/10/21,7:18:58,11/10/21,SafeSt,SafetyStock,,,15.000-,24,12/03/21,19
1,748948206,0,10/28/21,7:19:11,10/28/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/19/21,7:18:51,11/19/21,SafeSt,SafetyStock,,,15.000-,45,12/03/21,19
1,748948206,0,10/27/21,7:19:09,10/27/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/20/21,7:18:43,11/20/21,SafeSt,SafetyStock,,,15.000-,41,12/03/21,19
1,748948206,0,11/17/21,7:18:55,11/17/21,SafeSt,SafetyStock,,,15.000-,52,12/03/21,19
1,748948206,0,11/06/21,7:21:25,11/06/21,SafeSt,,,,,,12/03/21,19
1,748948206,12,11/08/21,4:04:33,11/19/21,SchAgr,F3LRNHF/00001,11/18/21,30,30,45,12/03/21,19
1,748948206,0,11/29/21,4:04:12,11/29/21,SafeSt,SafetyStock,,,15.000-,27,12/03/21,19
1,748948206,0,11/01/21,4:06:49,11/01/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/18/21,7:19:19,11/18/21,SafeSt,SafetyStock,,,15.000-,49,12/03/21,19
1,748948206,0,11/30/21,7:18:59,11/30/21,SafeSt,SafetyStock,,,15.000-,25,12/03/21,19
1,748948206,0,10/30/21,7:21:45,10/30/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,10/23/21,7:19:09,10/23/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,10/25/21,4:04:42,10/25/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,12/02/21,7:18:57,12/02/21,SafeSt,SafetyStock,,,15.000-,23,12/03/21,19
1,748948206,0,11/03/21,7:21:17,11/03/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/13/21,7:18:56,11/13/21,SafeSt,SafetyStock,,,15.000-,23,12/03/21,19
1,748948206,0,11/09/21,7:19:40,11/09/21,SafeSt,SafetyStock,,,15.000-,25,12/03/21,19
1,748948206,0,11/05/21,7:21:29,11/05/21,SafeSt,,,,,,12/03/21,19
1,748948206,0,11/12/21,7:18:57,11/12/21,SafeSt,SafetyStock,,,15.000-,23,12/03/21,19
1,748948206,0,12/03/21,7:19:09,12/03/21,SafeSt,SafetyStock,,,15.000-,22,12/05/21,9
1,748948206,0,12/04/21,7:19:17,12/04/21,SafeSt,SafetyStock,,,15.000-,22,12/06/21,9
1,748948206,0,12/06/21,4:04:10,12/06/21,SafeSt,SafetyStock,,,15.000-,22,12/08/21,9
1,748948206,0,12/07/21,7:19:00,12/07/21,SafeSt,SafetyStock,,,15.000-,20,12/09/21,9
1,748948206,0,12/08/21,7:18:50,12/08/21,SafeSt,SafetyStock,,,15.000-,20,12/10/21,9
1,748948206,0,12/09/21,7:18:58,12/09/21,SafeSt,SafetyStock,,,15.000-,19,12/11/21,9
1,748948206,0,12/10/21,7:19:21,12/10/21,SafeSt,SafetyStock,,,15.000-,19,12/12/21,9
1,748948206,0,12/11/21,7:19:07,12/11/21,SafeSt,SafetyStock,,,15.000-,19,12/13/21,9
1,748948206,0,12/13/21,4:04:19,12/13/21,SafeSt,SafetyStock,,,15.000-,19,12/15/21,9
