material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
5A11ED1-02,MC10,,07/06/21,WB,,,Stock,0,0,,,120,,1,aaf7ec0c5938270a3091f79a7cba2e3c,MCP,7/6/21,28:47.0,7/6/21,37:27.0,7/6/21
5A11ED1-02,MC10,,07/07/21,WB,,,Stock,0,0,,,120,,1,85723bf94c07fe23cb2fe476b12401c8,MCP,7/7/21,27:34.0,7/7/21,36:34.0,7/7/21
5A11ED1-02,MC10,,07/08/21,WB,,,Stock,0,0,,,120,,1,0f33eef53a7d5f4850af12fb4b5a7d19,MCP,7/8/21,28:44.0,7/8/21,37:43.0,7/8/21
5A11ED1-02,MC10,,07/09/21,WB,,,Stock,0,0,,,120,,1,62bacdd8dcaf7c7498154e9b4d3abc58,MCP,7/9/21,29:07.0,7/9/21,35:40.0,7/9/21
5A11ED1-02,MC10,,07/10/21,WB,,,Stock,0,0,,,120,,1,8a12c872fc44bf004baf3e7d4218630c,MCP,7/10/21,28:40.0,7/10/21,36:40.0,7/10/21
5A11ED1-02,MC10,,07/11/21,WB,,,Stock,0,0,,,120,,1,356ee26c1e8ffee8476955d5c8709d99,MCP,7/11/21,29:20.0,7/11/21,38:40.0,7/11/21
5A11ED1-02,MC10,,07/12/21,WB,,,Stock,0,0,,,120,,1,4eda7a9b67e8f8ca123cf015e632d84d,MCP,7/12/21,28:22.0,7/12/21,37:23.0,7/12/21
5A11ED1-02,MC10,,07/13/21,WB,,,Stock,0,0,,,120,,1,0ab6622f7fc948369043b943888d7682,MCP,7/13/21,31:00.0,7/13/21,33:16.0,7/13/21
5A11ED1-02,MC10,,07/14/21,WB,,,Stock,0,0,,,120,,1,ca16f419ad0aac6aad60d88bf6762b42,MCP,7/14/21,32:51.0,7/14/21,35:51.0,7/14/21
5A11ED1-02,MC10,,07/15/21,WB,,,Stock,0,0,,,120,,1,bc8831d49a409ba18083ac8e64780fe0,MCP,7/15/21,32:43.0,7/15/21,33:27.0,7/15/21
5A11ED1-02,MC10,,07/16/21,WB,,,Stock,0,0,,,120,,1,a25481572b0bd2fa547826646f9ba2a4,MCP,7/16/21,32:32.0,7/16/21,33:36.0,7/16/21
5A11ED1-02,MC10,,07/17/21,WB,,,Stock,0,0,,,120,,1,70d7526c1619830964054b15d72792e3,MCP,7/17/21,29:13.0,7/17/21,38:03.0,7/17/21
5A11ED1-02,MC10,,07/18/21,WB,,,Stock,0,0,,,120,,1,60f50a3e505e7ec5f809c89e7af290e9,MCP,7/18/21,28:02.0,7/18/21,38:44.0,7/18/21
