material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
9451274-07,MC10,,04/14/21,WB,,,Stock,0,0,,,530,,1,5c6714194587670866d1d62c7d16b409,MCP,4/14/21,04/14/21,05/14/21,45:41.0,5/14/21
9451274-07,MC10,,04/16/21,WB,,,Stock,0,0,,,530,,1,9c1638a6a1b537e08c1fb1f79df675eb,MCP,4/16/21,04/16/21,05/14/21,00:03.0,5/14/21
9451274-07,MC10,,04/17/21,WB,,,Stock,0,0,,,530,,1,0351991cb6705c5af335a1dd3470bb47,MCP,4/17/21,04/17/21,05/14/21,44:29.0,5/14/21
9451274-07,MC10,,04/18/21,WB,,,Stock,0,0,,,530,,1,712926a3d1518477aef3db44064e340b,MCP,4/18/21,04/18/21,05/14/21,50:47.0,5/14/21
9451274-07,MC10,,04/19/21,WB,,,Stock,0,0,,,530,,1,b249d91e227d3e7131e4aff6ad193c41,MCP,4/19/21,04/19/21,05/14/21,46:45.0,5/14/21
9451274-07,MC10,,04/20/21,WB,,,Stock,0,0,,,530,,1,3bd5c250d3ea3c5d6c329e0e35edd015,MCP,4/20/21,04/20/21,05/14/21,43:47.0,5/14/21
9451274-07,MC10,,04/21/21,WB,,,Stock,0,0,,,530,,1,efeb8286262ae53ab1494ea44bebb7ba,MCP,4/21/21,04/21/21,05/14/21,57:30.0,5/14/21
9451274-07,MC10,,04/22/21,WB,,,Stock,0,0,,,530,,1,2cead763b3006bdae9d935e145963faa,MCP,4/22/21,04/22/21,05/14/21,56:37.0,5/14/21
9451274-07,MC10,,04/23/21,WB,,,Stock,0,0,,,530,,1,485ee656282566f827ad8aa4ce812b03,MCP,4/23/21,04/23/21,05/14/21,52:20.0,5/14/21
9451274-07,MC10,,04/24/21,WB,,,Stock,0,0,,,530,,1,11edd94b82516cf869a3b047a7f829bf,MCP,4/24/21,04/24/21,05/14/21,46:21.0,5/14/21
9451274-07,MC10,,04/25/21,WB,,,Stock,0,0,,,530,,1,537053d61e49836ac80b9baf14223c04,MCP,4/25/21,04/25/21,05/14/21,53:14.0,5/14/21
9451274-07,MC10,,04/26/21,WB,,,Stock,0,0,,,530,,1,2d1ad01a3cd3393a4f22f43874582a3f,MCP,4/26/21,04/26/21,05/14/21,48:40.0,5/14/21
9451274-07,MC10,,04/27/21,WB,,,Stock,0,0,,,530,,1,ce6e7fe08dbabe85093360feffccd4ed,MCP,4/27/21,04/27/21,05/14/21,55:55.0,5/14/21
9451274-07,MC10,,04/27/21,FH,,,----->,0,0,,,530,,2,0351991cb6705c5af335a1dd3470bb47,MCP,4/17/21,04/17/21,05/14/21,44:29.0,5/14/21
9451274-07,MC10,,04/27/21,FH,,,----->,0,0,,,530,,2,5c6714194587670866d1d62c7d16b409,MCP,4/14/21,04/14/21,05/14/21,45:41.0,5/14/21
9451274-07,MC10,,04/27/21,FH,,,----->,0,0,,,530,,2,9c1638a6a1b537e08c1fb1f79df675eb,MCP,4/16/21,04/16/21,05/14/21,00:03.0,5/14/21
9451274-07,MC10,,04/28/21,WB,,,Stock,0,0,,,530,,1,a5bc1fda82932a5777a8eb38389e04c2,MCP,4/28/21,04/28/21,05/14/21,54:46.0,5/14/21
9451274-07,MC10,,04/29/21,WB,,,Stock,0,0,,,530,,1,465decb11812f8034a30f75266af4c57,MCP,4/29/21,04/29/21,05/14/21,54:41.0,5/14/21
9451274-07,MC10,,04/29/21,FH,,,----->,0,0,,,530,,2,712926a3d1518477aef3db44064e340b,MCP,4/18/21,04/18/21,05/14/21,50:47.0,5/14/21
9451274-07,MC10,,04/29/21,FH,,,----->,0,0,,,530,,2,3bd5c250d3ea3c5d6c329e0e35edd015,MCP,4/20/21,04/20/21,05/14/21,43:47.0,5/14/21
9451274-07,MC10,,04/29/21,FH,,,----->,0,0,,,530,,2,b249d91e227d3e7131e4aff6ad193c41,MCP,4/19/21,04/19/21,05/14/21,46:45.0,5/14/21
9451274-07,MC10,,04/30/21,WB,,,Stock,0,0,,,530,,1,37785d56c8670bc26f071db1b54283d4,MCP,4/30/21,04/30/21,05/14/21,55:24.0,5/14/21
9451274-07,MC10,,05/01/21,WB,,,Stock,0,0,,,530,,1,cdd8d9714d1376c357744815448a87c8,MCP,5/1/21,05/01/21,05/14/21,55:35.0,5/14/21
9451274-07,MC10,,05/02/21,WB,,,Stock,0,0,,,530,,1,679cc8fa87db5dbac73d76657ab03a05,MCP,5/2/21,05/02/21,05/14/21,53:42.0,5/14/21
9451274-07,MC10,,05/03/21,WB,,,Stock,0,0,,,530,,1,3f315e26c04d3a1328d1b0e21af0b8ae,MCP,5/3/21,05/03/21,05/14/21,57:53.0,5/14/21
9451274-07,MC10,,05/04/21,WB,,,Stock,0,0,,,530,,1,447c124c5f146dad95fd5a29d0cb74f2,MCP,5/4/21,05/04/21,05/14/21,54:52.0,5/14/21
9451274-07,MC10,,05/04/21,FH,,,----->,0,0,,,530,,2,2cead763b3006bdae9d935e145963faa,MCP,4/22/21,04/22/21,05/14/21,56:37.0,5/14/21
9451274-07,MC10,,05/04/21,FH,,,----->,0,0,,,530,,2,efeb8286262ae53ab1494ea44bebb7ba,MCP,4/21/21,04/21/21,05/14/21,57:30.0,5/14/21
9451274-07,MC10,,05/04/21,FH,,,----->,0,0,,,530,,2,485ee656282566f827ad8aa4ce812b03,MCP,4/23/21,04/23/21,05/14/21,52:20.0,5/14/21
9451274-07,MC10,,05/04/21,FH,,,----->,0,0,,,530,,2,11edd94b82516cf869a3b047a7f829bf,MCP,4/24/21,04/24/21,05/14/21,46:21.0,5/14/21
9451274-07,MC10,,05/05/21,WB,,,Stock,0,0,,,530,,1,a85c7f2508ab3b502a22b9341025793e,MCP,5/5/21,05/05/21,05/14/21,59:31.0,5/14/21
9451274-07,MC10,,05/06/21,WB,,,Stock,0,0,,,530,,1,4130b7b70f2dcf206d4641317d67b601,MCP,5/6/21,05/06/21,05/14/21,02:39.0,5/14/21
9451274-07,MC10,,05/06/21,FH,,,----->,0,0,,,530,,2,ce6e7fe08dbabe85093360feffccd4ed,MCP,4/27/21,04/27/21,05/14/21,55:55.0,5/14/21
9451274-07,MC10,,05/06/21,FH,,,----->,0,0,,,530,,2,537053d61e49836ac80b9baf14223c04,MCP,4/25/21,04/25/21,05/14/21,53:14.0,5/14/21
9451274-07,MC10,,05/06/21,FH,,,----->,0,0,,,530,,2,2d1ad01a3cd3393a4f22f43874582a3f,MCP,4/26/21,04/26/21,05/14/21,48:40.0,5/14/21
