material,plant,mrp_area,demand_date,mrp_element_cd,shipping_notification,container_info,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,split_indicator,line_index,document_uuid,sid_client,snapdate,snaptime,load_date,load_timestamp,_load_date
7417886-07,MC10,,05/11/21,SB,,,DepReq,-1,958,PLT1,,114,,3,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/20/21,WB,,,Stock,1079,1079,,,114,,1,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/20/21,SH,,,SafeSt,-120,959,,,114,,2,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/20/21,SB,,,DepReq,-130,828,PLT1,,114,,4,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/20/21,SB,,,DepReq,-130,698,PLT1,,114,,5,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/21/21,LE,,,SchAgr,320,1018,,24446310,114,,6,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/21/21,SB,,,DepReq,-148,870,PLT1,,114,,7,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/21/21,SB,,,DepReq,-149,721,PLT1,,114,,8,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/22/21,SB,,,DepReq,-30,1150,PLT1,,114,,3,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/22/21,SB,,,DepReq,-31,1119,PLT1,,114,,4,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/22/21,LE,,,SchAgr,240,961,,24446310,114,,9,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/22/21,SB,,,DepReq,-121,840,PLT1,,114,,10,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/22/21,SB,,,DepReq,-122,718,PLT1,,114,,11,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/23/21,WB,,,Stock,1300,1300,,,114,,1,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/23/21,SH,,,SafeSt,-120,1180,,,114,,2,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/24/21,SB,,,DepReq,-155,964,PLT1,,114,,5,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/24/21,SB,,,DepReq,-155,809,PLT1,,114,,6,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/24/21,FH,,,----->,0,718,,,114,,12,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/24/21,LE,,,SchAgr,400,1118,,24446310,114,,13,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/24/21,SB,,,DepReq,-154,964,PLT1,,114,,14,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/24/21,SB,,,DepReq,-154,810,PLT1,,114,,15,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/25/21,LE,,,SchAgr,320,1129,,24446310,114,,7,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/25/21,SB,,,DepReq,-114,1015,PLT1,,114,,8,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/25/21,SB,,,DepReq,-115,900,PLT1,,114,,9,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/25/21,LE,,,SchAgr,320,1130,,24446310,114,,16,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/25/21,SB,,,DepReq,-114,1016,PLT1,,114,,17,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/25/21,SB,,,DepReq,-115,901,PLT1,,114,,18,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/26/21,LE,,,SchAgr,240,1140,,24446310,114,,10,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/26/21,SB,,,DepReq,-159,981,PLT1,,114,,11,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/26/21,SB,,,DepReq,-159,822,PLT1,,114,,12,5481b33fc67cd6b5e26234eff1607e74,MCP,5/23/21,09:51.0,5/23/21,37:47.0,5/23/21
7417886-07,MC10,,05/26/21,LE,,,SchAgr,240,1141,,24446310,114,,19,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
7417886-07,MC10,,05/26/21,SB,,,DepReq,-158,983,PLT1,,114,,20,3adfdc1cca4971a122fd1f07d99ae21b,MCP,5/20/21,11:20.0,5/20/21,34:57.0,5/20/21
