mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,72883828,41582264,5.63201E+13,5A11EC102,5000794862,3,1/13/2022,1,PC,200210562,1,MC10,YAIR,101,,21:56:01,V,S,185587960,MUC00318084,1/15/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,6,1/19/2022,1,PC,200210562,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,7,1/19/2022,1,PC,200210562,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,8,1/19/2022,1,PC,200211242,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,9,1/19/2022,1,PC,200211242,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,10,1/19/2022,1,PC,200211242,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,11,1/19/2022,1,PC,200211242,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41665711,5.63201E+13,5A11EC102,5000996427,12,1/19/2022,1,PC,200211242,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,16,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,15,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41674433,5.63201E+13,5A11EC102,5001281046,1,1/22/2022,1,PC,200210076,1,MC10,YAIR,101,,3:34:29,V,S,185602960,MUC00319243,1/24/2022,9
1,72883828,41742834,5.63201E+13,5A11EC102,5001277940,3,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:16,V,S,185607600,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,8,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,9,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,10,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,11,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,12,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,13,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,41750913,5.63201E+13,5A11EC102,5001277938,14,1/22/2022,1,PC,200212017,1,MC10,YAIR,101,,2:31:12,V,S,185607275,MUC00319586,1/24/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,9,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,10,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,11,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,12,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,13,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,14,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42025779,5.63201E+13,5A11EC102,5002728584,15,2/10/2022,1,PC,200215915,1,MC10,YAIR,101,,2:30:37,V,S,185653637,MUC00322541,2/12/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,24,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,25,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,26,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,27,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,28,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42112593,5.63201E+13,5A11EC102,5003331480,29,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:21:41,V,S,185670487,MUC00323489,2/20/2022,9
1,72883828,42139817,5.63201E+13,5A11EC102,5003331455,4,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:20:55,V,S,185673676,MUC00323725,2/20/2022,9
1,72883828,42139817,5.63201E+13,5A11EC102,5003331455,5,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:20:55,V,S,185673676,MUC00323725,2/20/2022,9
1,72883828,42139817,5.63201E+13,5A11EC102,5003331455,6,2/18/2022,1,PC,200214500,1,MC10,YAIR,101,,8:20:55,V,S,185673676,MUC00323725,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,10,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,11,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,12,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,13,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,14,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,15,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,16,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,17,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,18,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,19,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11EC102,5003331482,20,2/18/2022,1,PC,200213352,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
