mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,72883828,41570384,5.63201E+13,5A11ED102,5000602828,2,1/11/2022,1,PC,200209876,1,MC10,YAIR,101,,22:01:24,V,S,185580593,MUC00317824,1/13/2022,9
1,72883828,41571848,5.63201E+13,5A11ED102,5000644439,1,1/12/2022,1,PC,200210568,1,MC10,YAIR,101,,8:20:09,V,S,185580967,MUC00317833,1/14/2022,9
1,72883828,41621988,5.63201E+13,5A11ED102,5000794890,2,1/13/2022,1,PC,200209877,1,MC10,YAIR,101,,21:57:32,V,S,185584928,MUC00317952,1/15/2022,9
1,72883828,41621988,5.63201E+13,5A11ED102,5000794890,1,1/13/2022,1,PC,200209877,1,MC10,YAIR,101,,21:57:32,V,S,185584928,MUC00317952,1/15/2022,9
1,72883828,41665711,5.63201E+13,5A11ED102,5000996427,2,1/19/2022,1,PC,200209877,1,MC10,YAIR,101,,1:43:45,V,S,185591250,MUC00318436,1/21/2022,9
1,72883828,41680432,5.63201E+13,5A11ED102,5001038670,5,1/19/2022,1,PC,200211248,1,MC10,YAIR,101,,12:30:41,V,S,185598038,MUC00318910,1/21/2022,9
1,72883828,41680432,5.63201E+13,5A11ED102,5001038670,6,1/19/2022,1,PC,200211248,1,MC10,YAIR,101,,12:30:41,V,S,185598038,MUC00318910,1/21/2022,9
1,72883828,41680432,5.63201E+13,5A11ED102,5001038670,7,1/19/2022,1,PC,200211248,1,MC10,YAIR,101,,12:30:41,V,S,185598038,MUC00318910,1/21/2022,9
1,72883828,41680432,5.63201E+13,5A11ED102,5001038670,12,1/19/2022,1,PC,200212023,1,MC10,YAIR,101,,12:30:41,V,S,185598038,MUC00318910,1/21/2022,9
1,72883828,42109514,5.63201E+13,5A11ED102,5003331482,24,2/18/2022,1,PC,200213358,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11ED102,5003331482,25,2/18/2022,1,PC,200213358,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11ED102,5003331482,26,2/18/2022,1,PC,200213358,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11ED102,5003331482,27,2/18/2022,1,PC,200213358,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
1,72883828,42109514,5.63201E+13,5A11ED102,5003331482,28,2/18/2022,1,PC,200213358,1,MC10,YAIR,101,,8:21:45,V,S,185670491,MUC00323489,2/20/2022,9
