mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,12076610,82381293,12514,945127407,5021953805,8,10/28/2021,7,EA,F3MQFK3,1,MC10,YLC2,101,,19:59:59,X,S,185440091,11847994,12/3/2021,19
1,12076610,82395499,A8062,945127407,5022578161,8,11/5/2021,1,EA,F3MQFK3,1,MC10,YLC2,101,,23:02:50,X,S,185453226,11878910,12/3/2021,19
1,12076610,82533783,12525,945127407,5000002513,2,1/3/2022,12,EA,F3MQFK3,1,MC10,YLC2,101,,8:28:59,V,S,185551824,12200683,1/5/2022,9
1,12076610,82567882,12039,945127407,5001274577,3,1/22/2022,13,EA,F3MQFK3,1,MC10,YLC2,101,,1:17:25,V,S,185611022,12215590,1/24/2022,9
1,12076610,82592663,12314,945127407,5001811914,3,1/28/2022,8,EA,F3MQFK3,1,MC10,YLC2,101,,21:28:53,X,S,185615750,12240609,1/31/2022,15
1,12076610,82653862,7023,945127407,5003378922,3,2/18/2022,7,EA,F3MQFK3,1,MC10,YLC2,101,,20:49:24,V,S,185664811,12329843,2/20/2022,9
1,12076610,82694542,12319,945127407,5004296855,2,3/4/2022,2,PC,F3MQFK3,1,MC10,YLC2,101,,2:16:11,X,S,185700337,12443149,3/6/2022,9
1,12076610,82713945,UWD-414-Y,945127407,5004438575,1,3/6/2022,5,EA,F3MQFK3,1,MC10,YLC2,101,,21:44:30,V,S,185715502,12526430,3/8/2022,9
1,12076610,82729322,58398S,945127407,5005422377,2,3/18/2022,6,PC,F3MQFK3,1,MC10,YLC2,101,,13:33:39,X,S,185738854,12509023,3/20/2022,9
1,12076610,82745157,58572S,945127407,5006004349,2,3/26/2022,3,PC,F3MQFK3,1,MC10,YLC2,101,,0:44:52,V,S,185754335,12586386,3/28/2022,9
1,12076610,82760252,12084,945127407,5006512930,1,4/1/2022,2,PC,F3MQFK3,1,MC10,YLC2,101,,19:28:38,V,S,185765028,12599156,4/4/2022,14
1,12076610,82854660,52138,945127407,5009560837,2,5/14/2022,11,PC,F3MQFK3,1,MC10,YLC2,101,,1:28:23,V,S,185861511,12763846,5/16/2022,9
1,12076610,82854660,52138,945127407,5009560837,2,5/14/2022,11,PC,F3MQFK3,1,MC10,YLC2,101,,1:28:23,V,S,185861511,12763846,5/17/2022,13
