mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,10834110,5068440,5171145,809198305,5024259314,29,12/2/2021,90,PC,3778186,1,MC10,YLC1,101,,3:53:59,X,S,185510797,1140831,12/3/2021,19
1,10834110,5067340,6080088,809198305,5022327943,28,11/3/2021,110,PC,3778186,1,MC10,YLC1,101,,4:52:33,X,S,185459056,1131571,12/3/2021,19
1,10834110,5067069,5160780,809198305,5021802787,30,10/27/2021,90,PC,3778186,1,MC10,YLC1,101,,4:48:47,X,S,185446220,1129052,12/3/2021,19
1,10834110,5067474,5171150,809198305,5022684873,30,11/8/2021,70,PC,3778186,1,MC10,YLC1,101,,8:15:22,X,S,185469526,1133171,12/3/2021,19
1,10834110,5067003,24602,809198305,5021713674,19,10/26/2021,50,PC,3778186,1,MC10,YLC1,101,,5:52:40,X,S,185442786,1128654,12/3/2021,19
1,10834110,5067184,5171125,809198305,5021991518,30,10/29/2021,90,PC,3778186,1,MC10,YLC1,101,,5:46:59,X,S,185451873,1130101,12/3/2021,19
1,10834110,5067811,5171208,809198305,5023309690,20,11/16/2021,90,PC,3778186,1,MC10,YLC1,101,,4:13:59,X,S,185488590,1136134,12/3/2021,19
1,10834110,5067730,5171208,809198305,5023142993,21,11/13/2021,90,PC,3778186,1,MC10,YLC1,101,,6:32:48,X,S,185485200,1135462,12/3/2021,19
1,10834110,5068117,643183,809198305,5023855948,34,11/23/2021,30,PC,3778186,1,MC10,YLC1,101,,4:17:33,X,S,185499028,1138454,12/3/2021,19
1,10834110,5068221,5160565,809198305,5023943992,21,11/24/2021,110,PC,3778186,1,MC10,YLC1,101,,4:24:54,X,S,185500992,1138910,12/3/2021,19
1,10834110,5067637,342014,809198305,5022969850,23,11/11/2021,120,PC,3778186,1,MC10,YLC1,101,,8:10:33,X,S,185478861,1134526,12/3/2021,19
1,10834110,5068388,342074,809198305,5024178808,32,12/1/2021,120,PC,3778186,1,MC10,YLC1,101,,7:20:46,X,S,185508939,1140663,12/3/2021,19
1,10834110,5067586,6110081,809198305,5022864114,26,11/10/2021,100,PC,3778186,1,MC10,YLC1,101,,4:20:30,X,S,185475683,1134096,12/3/2021,19
1,10834110,5068277,5160944,809198305,5024007229,28,11/29/2021,120,PC,3778186,1,MC10,YLC1,101,,10:37:24,X,S,185505213,1139514,12/3/2021,19
1,10834110,5067746,5160857,809198305,5023223189,30,11/15/2021,80,PC,3778186,1,MC10,YLC1,101,,5:24:28,X,S,185485707,1135677,12/3/2021,19
1,10834110,5066956,5140215,809198305,5021633300,32,10/25/2021,80,PC,3778186,1,MC10,YLC1,101,,9:20:45,X,S,185439988,1128181,12/3/2021,19
1,10834110,5067244,731033,809198305,5022153475,29,11/1/2021,80,PC,3778186,1,MC10,YLC1,101,,4:44:18,X,S,185455177,1130651,12/3/2021,19
1,10834110,5067381,5160547,809198305,5022422511,32,11/4/2021,40,PC,3778186,1,MC10,YLC1,101,,5:09:07,X,S,185462412,1131960,12/3/2021,19
1,10834110,5068050,5160788,809198305,5023758957,25,11/22/2021,70,PC,3778186,1,MC10,YLC1,101,,4:14:11,X,S,185497172,1138146,12/3/2021,19
1,10834110,5067287,731064,809198305,5022236589,36,11/2/2021,80,PC,3778186,1,MC10,YLC1,101,,4:28:05,X,S,185455920,1131140,12/3/2021,19
