mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,18551914,7134240,12009,809747903,5024079288,8,11/30/2021,6,PC,F399MYK,1,MC10,YLC1,101,,4:59:09,X,S,185499791,597832388,12/3/2021,19
1,18551914,7132307,B5152,809747903,5021645695,6,10/25/2021,6,EA,F399MYK,1,MC10,YLC1,101,,11:56:20,X,S,185436250,11828045,12/3/2021,19
1,18551914,7133306,12397,809747903,5022986818,8,11/11/2021,6,EA,F399MYK,1,MC10,YLC1,101,,11:49:25,X,S,185476746,11903813,12/3/2021,19
1,18551914,7136256,12417,809747903,5000229980,4,1/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,16:31:37,X,S,185572697,12147806,1/8/2022,9
1,18551914,7137060,B5067,809747903,5001165857,10,1/20/2022,6,PC,F399MYK,1,MC10,YLC1,101,,21:17:19,V,S,185602857,12209832,1/22/2022,9
1,18551914,7137450,12157,809747903,5001755757,9,1/28/2022,6,PC,F399MYK,1,MC10,YLC1,101,,6:06:33,X,S,185620168,597834772,1/31/2022,15
1,18551914,7138819,B5030,809747903,5003544009,10,2/22/2022,6,PC,F399MYK,1,MC10,YLC1,101,,3:13:13,V,S,185680079,12341458,2/24/2022,9
1,18551914,7139964,B5051,809747903,5004776461,8,3/10/2022,6,PC,F399MYK,1,MC10,YLC1,101,,10:02:42,X,S,185723277,597832536,3/12/2022,9
1,18551914,7141677,12144,809747903,5006959766,10,4/7/2022,6,PC,F399MYK,1,MC10,YLC1,101,,21:48:46,V,S,185786319,12631473,4/9/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,4/26/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/2/2022,15
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/3/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/4/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/5/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/6/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/7/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/8/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/8/2022,9
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/9/2022,13
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/9/2022,13
1,18551914,7142620,12087,809747903,5007985068,11,4/24/2022,6,PC,F399MYK,1,MC10,YLC1,101,,20:29:06,V,S,185824652,12696227,5/10/2022,13
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/10/2022,13
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/11/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/12/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/13/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/15/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/16/2022,9
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/17/2022,13
1,18551914,7143487,12253,809747903,5008948203,9,5/6/2022,6,PC,F399MYK,1,MC10,YLC1,101,,9:37:14,X,S,185858393,7143487,5/18/2022,9
