mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,11410810,81060684,12395,807765206,5022481772,3,11/4/2021,242,PC,F3FVQJ9,1,MC10,YLC5,101,,21:48:09,X,S,185455499,11878820,12/3/2021,19
1,11410810,81073298,B5038,807765206,5024904025,3,12/10/2021,242,PC,F3FVQJ9,1,MC10,YLC5,101,,11:44:13,V,S,185514619,12032572,12/12/2021,9
1,11410810,81083353,12624,807765206,5000904680,4,1/15/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,3:52:20,V,S,185580085,12185323,1/18/2022,9
1,11410810,81108571,12603,807765206,5005411652,3,3/18/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,10:30:20,X,S,185731598,12509217,3/20/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/9/2022,13
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/10/2022,13
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/11/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/12/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/13/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/15/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/16/2022,9
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/17/2022,13
1,11410810,81124275,12200,807765206,5009066603,5,5/8/2022,242,PC,F3FVQJ9,1,MC10,YLC5,101,,19:34:06,X,S,185845158,12731545,5/18/2022,9
