material,plant,demand_date,mrp_element_cd,mrp_element,change_quantity,total_quantity,storage_location,supplier_nr,planner,line_index
7430935-05,MC10,05/11/21,SB,DepReq,-1,526,PLT1,,114,3
7430935-05,MC10,05/20/21,WB,Stock,587,587,,,114,1
7430935-05,MC10,05/20/21,SH,SafeSt,-60,527,,,114,2
7430935-05,MC10,05/20/21,LA,ShipNt,180,706,,22325910,114,4
7430935-05,MC10,05/20/21,SB,DepReq,-6,700,PLT1,,114,5
7430935-05,MC10,05/20/21,SB,DepReq,-198,502,PLT1,,114,6
7430935-05,MC10,05/21/21,LA,ShipNt,180,682,,22325910,114,7
7430935-05,MC10,05/21/21,SB,DepReq,-4,678,PLT1,,114,8
7430935-05,MC10,05/21/21,SB,DepReq,-274,404,PLT1,,114,9
7430935-05,MC10,05/22/21,SB,DepReq,-52,409,PLT1,,114,3
7430935-05,MC10,05/22/21,LE,SchAgr,180,584,,22325910,114,10
7430935-05,MC10,05/22/21,SB,DepReq,-174,410,PLT1,,114,11
7430935-05,MC10,05/23/21,WB,Stock,521,521,,,114,1
7430935-05,MC10,05/23/21,SH,SafeSt,-60,461,,,114,2
7430935-05,MC10,05/24/21,LA,ShipNt,240,649,,22325910,114,4
7430935-05,MC10,05/24/21,SB,DepReq,-2,647,PLT1,,114,5
7430935-05,MC10,05/24/21,SB,DepReq,-218,429,PLT1,,114,6
7430935-05,MC10,05/24/21,SB,DepReq,-2,648,PLT1,,114,13
7430935-05,MC10,05/24/21,SB,DepReq,-216,432,PLT1,,114,14
7430935-05,MC10,05/25/21,LA,ShipNt,240,669,,22325910,114,7
7430935-05,MC10,05/25/21,SB,DepReq,-2,667,PLT1,,114,8
7430935-05,MC10,05/25/21,SB,DepReq,-147,520,PLT1,,114,9
7430935-05,MC10,05/25/21,FH,----->,0,432,,,114,15
7430935-05,MC10,05/25/21,LE,SchAgr,240,672,,22325910,114,16
7430935-05,MC10,05/25/21,SB,DepReq,-3,669,PLT1,,114,17
7430935-05,MC10,05/25/21,SB,DepReq,-148,521,PLT1,,114,18
7430935-05,MC10,05/26/21,LE,SchAgr,240,760,,22325910,114,10
7430935-05,MC10,05/26/21,SB,DepReq,-3,757,PLT1,,114,11
7430935-05,MC10,05/26/21,SB,DepReq,-230,527,PLT1,,114,12
7430935-05,MC10,05/26/21,LE,SchAgr,240,761,,22325910,114,19
7430935-05,MC10,05/26/21,SB,DepReq,-2,759,PLT1,,114,20
7430935-05,MC10,05/27/21,LE,SchAgr,180,707,,22325910,114,13
7430935-05,MC10,05/27/21,SB,DepReq,-256,451,PLT1,,114,14
7430935-05,MC10,05/27/21,LE,SchAgr,180,710,,22325910,114,22
7430935-05,MC10,05/27/21,SB,DepReq,-2,708,PLT1,,114,23
7430935-05,MC10,05/27/21,SB,DepReq,-256,452,PLT1,,114,24
7430935-05,MC10,05/28/21,FH,----->,0,451,,,114,15
7430935-05,MC10,05/28/21,LE,SchAgr,120,571,,22325910,114,16
7430935-05,MC10,05/28/21,SB,DepReq,-5,566,PLT1,,114,17
7430935-05,MC10,05/28/21,SB,DepReq,-250,316,PLT1,,114,18
7430935-05,MC10,05/28/21,LE,SchAgr,120,572,,22325910,114,25
7430935-05,MC10,05/28/21,SB,DepReq,-5,567,PLT1,,114,26
7430935-05,MC10,05/28/21,SB,DepReq,-252,315,PLT1,,114,27
7430935-05,MC10,05/29/21,LE,SchAgr,180,496,,22325910,114,19
7430935-05,MC10,05/29/21,SB,DepReq,-4,492,PLT1,,114,20
7430935-05,MC10,05/29/21,SB,DepReq,-188,304,PLT1,,114,21
7430935-05,MC10,05/29/21,LE,SchAgr,240,555,,22325910,114,28
7430935-05,MC10,05/29/21,SB,DepReq,-5,550,PLT1,,114,29
7430935-05,MC10,05/29/21,SB,DepReq,-187,363,PLT1,,114,30
7430935-05,MC10,06/01/21,LE,SchAgr,300,604,,22325910,114,22
7430935-05,MC10,06/01/21,SB,DepReq,-8,596,PLT1,,114,23
7430935-05,MC10,06/01/21,SB,DepReq,-66,530,PLT1,,114,24
7430935-05,MC10,06/01/21,LE,SchAgr,300,663,,22325910,114,31
7430935-05,MC10,06/01/21,PP,IndReq,-5,658,,,114,32
7430935-05,MC10,06/01/21,SB,DepReq,-5,653,PLT1,,114,33
7430935-05,MC10,06/01/21,SB,DepReq,-61,592,PLT1,,114,34
7430935-05,MC10,06/02/21,LE,SchAgr,180,710,,22325910,114,25
7430935-05,MC10,06/02/21,SB,DepReq,-5,705,PLT1,,114,26
7430935-05,MC10,06/02/21,SB,DepReq,-218,487,PLT1,,114,27
7430935-05,MC10,06/02/21,LE,SchAgr,180,772,,22325910,114,35
7430935-05,MC10,06/02/21,PP,IndReq,-249,523,,,114,36
