,matnr,cdate,auskt
738,743093505,2022-02-18,15.0
740,809198305,2022-02-18,30.0
744,743093505,2022-02-19,15.0
749,743093505,2022-02-21,15.0
752,741788607,2022-02-22,10.0
755,743093505,2022-02-22,15.0
759,742065710,2022-02-23,10.0
761,743093505,2022-02-23,15.0
766,743093505,2022-02-24,15.0
771,743093505,2022-02-25,15.0
773,807165907,2022-02-25,10.0
774,809198305,2022-02-25,15.0
779,807165907,2022-02-26,10.0
780,809198305,2022-02-26,30.0
783,742065710,2022-02-28,30.0
786,807165907,2022-02-28,10.0
787,809198305,2022-02-28,10.0
790,742065710,2022-03-01,10.0
793,809198305,2022-03-01,10.0
796,742065710,2022-03-02,10.0
799,809198305,2022-03-02,10.0
800,809198305,2022-03-02,10.0
802,742065710,2022-03-03,10.0
804,809198305,2022-03-03,15.0
806,809198305,2022-03-04,15.0
807,743093505,2022-03-05,15.0
808,743093505,2022-03-05,30.0
809,807165907,2022-03-05,30.0
810,809198305,2022-03-05,15.0
811,741788607,2022-03-07,10.0
812,742065710,2022-03-07,10.0
813,743093505,2022-03-07,15.0
814,743093505,2022-03-07,10.0
815,807165907,2022-03-07,10.0
816,809198305,2022-03-07,15.0
817,741788607,2022-03-08,15.0
818,742065710,2022-03-08,10.0
819,743093505,2022-03-08,15.0
820,743093505,2022-03-08,10.0
821,807165907,2022-03-08,7.0
822,807165907,2022-03-08,10.0
823,809198305,2022-03-08,15.0
824,809198305,2022-03-08,15.0
825,809198305,2022-03-09,15.0
826,809198305,2022-03-09,15.0
827,809198305,2022-03-10,10.0
828,741788607,2022-03-12,15.0
829,807165907,2022-03-12,15.0
830,742065710,2022-03-15,10.0
831,742065710,2022-03-15,10.0
832,742065710,2022-03-15,10.0
833,742065710,2022-03-15,30.0
834,742065710,2022-03-15,30.0
835,742065710,2022-03-15,30.0
836,742065710,2022-03-15,30.0
837,742065710,2022-03-15,30.0
838,742065710,2022-03-15,30.0
839,742065710,2022-03-15,30.0
840,742065710,2022-03-15,30.0
841,742065710,2022-03-15,30.0
842,742065710,2022-03-15,30.0
843,742065710,2022-03-15,30.0
844,742065710,2022-03-15,30.0
845,809198305,2022-03-15,30.0
846,742065710,2022-03-16,10.0
847,741788607,2022-03-19,15.0
848,742065710,2022-03-19,10.0
849,807165907,2022-03-19,15.0
850,807165907,2022-03-21,30.0
851,807165907,2022-03-21,30.0
852,741788607,2022-03-22,10.0
853,809198305,2022-03-22,10.0
854,809198305,2022-03-22,30.0
855,741788607,2022-03-24,15.0
856,807165907,2022-03-26,10.0
857,809198305,2022-03-26,10.0
858,809198305,2022-03-26,10.0
859,741788607,2022-03-28,10.0
860,807165907,2022-03-28,10.0
861,809198305,2022-03-28,10.0
862,741788607,2022-03-29,10.0
863,807165907,2022-03-30,30.0
864,741788607,2022-04-01,10.0
865,741788607,2022-04-02,30.0
866,741788607,2022-04-02,10.0
867,741788607,2022-04-02,30.0
868,809198305,2022-04-02,30.0
869,741788607,2022-04-04,10.0
870,742065710,2022-04-04,30.0
871,807165907,2022-04-04,10.0
872,809198305,2022-04-04,10.0
873,809198305,2022-04-04,10.0
874,809198305,2022-04-04,10.0
875,809198305,2022-04-04,10.0
876,809198305,2022-04-04,30.0
