initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2018-02-24,2021-10-13,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,105,SFP,SFP,,,,,,,0000000834610643,MCPCLNT001,2021-10-14,2021-10-14 04:00:41.000,2021-10-14,2021-10-14 09:02:34.000,2021-10-14
2018-02-24,2021-10-13,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,202,,,,,,,,,0000000834610643,MCPCLNT001,2021-10-14,2021-10-14 04:00:41.000,2021-10-14,2021-10-14 09:02:34.000,2021-10-14
2018-02-24,2020-12-28,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,090,,,,,,C,,S,,,,105,SFP,SFP,,,,,,,0000000756641869,MCPCLNT001,2021-01-14,2021-01-14 07:37:43.000,2021-05-24,2021-05-24 19:33:46.000,2021-05-24
2018-02-24,2020-12-28,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,090,,,,,,C,,S,,,,202,,,,,,,,,0000000756641869,MCPCLNT001,2021-01-14,2021-01-14 07:37:43.000,2021-05-24,2021-05-24 19:33:46.000,2021-05-24
2018-02-24,2020-12-28,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,105,SFP,SFP,,,,,,,0000000768573791,MCPCLNT001,2021-03-01,2021-03-01 14:06:19.000,2021-05-24,2021-05-24 19:12:16.000,2021-05-24
2018-02-24,2020-12-28,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,202,,,,,,,,,0000000768573791,MCPCLNT001,2021-03-01,2021-03-01 14:06:19.000,2021-05-24,2021-05-24 19:12:16.000,2021-05-24
2018-02-24,2021-12-16,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,105,SFP,SFP,,,,,,,0000000853992443,MCPCLNT001,2021-12-17,2021-12-17 04:01:59.000,2021-12-17,2021-12-17 10:03:52.000,2021-12-17
2018-02-24,2021-12-16,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,202,,,,,,,,,0000000853992443,MCPCLNT001,2021-12-17,2021-12-17 04:01:59.000,2021-12-17,2021-12-17 10:03:52.000,2021-12-17
2018-02-24,2021-04-12,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,105,SFP,SFP,,,,,,,0000000779987735,MCPCLNT001,2021-04-12,2021-04-12 11:05:32.000,2021-05-25,2021-05-25 04:26:18.000,2021-05-25
2018-02-24,2021-04-12,7470965-04,747096504,7470965,04,LI ABLAGEFACH GPR,LH ODDMENTS TRAY TRK,MC10,177,P1,48.0000,MC,0.0000,02,2,,5,1,0.0000,EA,0.0000,0.0000,0.0000,,0.0000,,234.0000,234.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,C,,S,,,,202,,,,,,,,,0000000779987735,MCPCLNT001,2021-04-12,2021-04-12 11:05:32.000,2021-05-25,2021-05-25 04:26:18.000,2021-05-25
