initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2020-12-09,2022-02-18,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000872496485,MCPCLNT001,2022-02-19,2022-02-19 04:01:11.000,2022-02-19,2022-02-19 10:03:01.000,2022-02-19
2020-12-09,2022-02-18,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000872496485,MCPCLNT001,2022-02-19,2022-02-19 04:01:11.000,2022-02-19,2022-02-19 10:03:01.000,2022-02-19
2020-12-09,2022-02-20,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000872880167,MCPCLNT001,2022-02-21,2022-02-21 04:00:42.000,2022-02-21,2022-02-21 10:03:14.000,2022-02-21
2020-12-09,2022-02-20,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000872880167,MCPCLNT001,2022-02-21,2022-02-21 04:00:42.000,2022-02-21,2022-02-21 10:03:14.000,2022-02-21
2020-12-09,2021-09-02,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,04,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000822679900,MCPCLNT001,2021-09-03,2021-09-03 04:00:31.000,2021-09-03,2021-09-03 09:02:46.000,2021-09-03
2020-12-09,2021-09-02,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,04,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000822679900,MCPCLNT001,2021-09-03,2021-09-03 04:00:31.000,2021-09-03,2021-09-03 09:02:46.000,2021-09-03
2020-12-09,2022-02-05,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000868355565,MCPCLNT001,2022-02-06,2022-02-06 04:00:35.000,2022-02-06,2022-02-06 10:02:27.000,2022-02-06
2020-12-09,2022-02-05,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000868355565,MCPCLNT001,2022-02-06,2022-02-06 04:00:35.000,2022-02-06,2022-02-06 10:02:27.000,2022-02-06
2020-12-09,2022-01-12,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000861243418,MCPCLNT001,2022-01-13,2022-01-13 04:07:23.000,2022-01-13,2022-01-13 12:03:19.000,2022-01-13
2020-12-09,2022-01-12,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,2700.0000,2700.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,202,,,,,,,,,0000000861243418,MCPCLNT001,2022-01-13,2022-01-13 04:07:23.000,2022-01-13,2022-01-13 12:03:19.000,2022-01-13
2020-12-09,2022-03-10,7489481-05,748948105,7489481,05,LU FUSSMATTEN LL  6SITZER AT,LU FLOOR MATS LHD 6SITZER AT,MC10,M11,P1,30.0000,MC,0.0000,05,2,,9,7,30.0000,EA,0.0000,0.0000,0.0000,,0.0000,,1800.0000,1800.0000,GRM,0,PRODPART,,,,,,,F,,0,0,A0,,,,,,B,,S,,,,105,1R1,1Q1,,,,,,,0000000878482205,MCPCLNT001,2022-03-11,2022-03-11 04:01:52.000,2022-03-11,2022-03-11 10:17:46.000,2022-03-11
