initial_creation_date,last_change_date,material,material_9,material_7,ai,mat_description,mat_description_eng,plant,planner,replenishment_type,rounding_value,lot_size,minimum_lot_size,safety_time_days,safety_time_ind,leadtime_hours,planning_time_fence,planned_delivery_time,safety_stock,unit_of_quantity,length,width,height,uom_lwh,volume,unit_of_volume,gross_weight,net_weight,unit_of_weight,stacking_factor,material_group,run_out_date,proc_type,part_type,character,init_upg,init_use_type,procurement_type,storage_location,bwd_consumption_per,fwd_consumption_per,pps_planning_calendar,factory_calendar,mrp_group,mixed_mrp,strategy_group,consumption_mode,abc_indicator,spab_indicator,status,status_valid_from,bulk_material,omb_part,warehouse_number,storage_type_stock_placement,storage_type_stock_removement,release,release_date,release_type,release_action_code,active_material,plant_calendar,document_number,sid_client,snapdate,snaptimestamp,load_date,load_timestamp,_load_date
2019-05-15,2021-12-27,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,105,5S2,5S2,,,,,,,0000000856672771,MCPCLNT001,2021-12-28,2021-12-28 04:42:52.000,2021-12-28,2021-12-28 12:28:49.000,2021-12-28
2019-05-15,2021-12-27,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,202,,,,,,,,,0000000856672771,MCPCLNT001,2021-12-28,2021-12-28 04:42:52.000,2021-12-28,2021-12-28 12:28:49.000,2021-12-28
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,020,,,,,,D,,I,,,,202,,,,,,,,,0000000756650832,MCPCLNT001,2021-01-14,2021-01-14 07:59:55.000,2021-05-24,2021-05-24 19:18:13.000,2021-05-24
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,202,,,,,,,,,0000000768676068,MCPCLNT001,2021-03-01,2021-03-01 14:55:56.000,2021-05-24,2021-05-24 19:31:04.000,2021-05-24
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,105,5S2,5S2,,,,,,,0000000768676068,MCPCLNT001,2021-03-01,2021-03-01 14:55:56.000,2021-05-24,2021-05-24 19:31:04.000,2021-05-24
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,020,,,,,,D,,I,,,,105,5S2,5S2,,,,,,,0000000756650832,MCPCLNT001,2021-01-14,2021-01-14 07:59:55.000,2021-05-24,2021-05-24 19:18:13.000,2021-05-24
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,020,,,,,,D,,I,,,,105,5S2,5S2,,,,,,,0000000756986763,MCPCLNT001,2021-01-15,2021-01-15 08:32:15.000,2021-05-24,2021-05-24 19:14:18.000,2021-05-24
2019-05-15,2020-12-28,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,020,,,,,,D,,I,,,,202,,,,,,,,,0000000756986763,MCPCLNT001,2021-01-15,2021-01-15 08:32:15.000,2021-05-24,2021-05-24 19:14:18.000,2021-05-24
2019-05-15,2021-04-15,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,105,5S2,5S2,,,,,,,0000000781064019,MCPCLNT001,2021-04-16,2021-04-16 04:02:36.000,2021-05-25,2021-05-25 04:37:49.000,2021-05-25
2019-05-15,2021-04-15,8077652-06,807765206,8077652,06,ZB X4 M COMP PLAKETTE,ASSY BADGE COMPETITION X4-WTH,MC10,M11,P1,242.0000,MC,0.0000,04,2,,8,7,64.0000,EA,0.0000,0.0000,0.0000,,0.0000,,18.0000,18.0000,GRM,0,PRODPART,,,,,,,F,,0,0,B2,,,,,,D,,I,,,,202,,,,,,,,,0000000781064019,MCPCLNT001,2021-04-16,2021-04-16 04:02:36.000,2021-05-25,2021-05-25 04:37:49.000,2021-05-25
