mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,807165907,0,12/18/21,7:19:54,12/18/21,SafeSt,SafetyStock,,,120.000-,1,457.00,12/20/21,9
1,807165907,0,12/10/21,7:19:59,12/10/21,SafeSt,SafetyStock,,,120.000-,1,205.00,12/12/21,9
1,807165907,0,12/15/21,7:19:29,12/15/21,SafeSt,SafetyStock,,,120.000-,1,004.00,12/17/21,9
1,807165907,2,12/15/21,7:19:29,12/14/21,ShipNt,0185535279/F3KXYH3,12/15/21,15,400,1,404.00,12/17/21,9
1,807165907,0,12/14/21,7:19:28,12/14/21,SafeSt,SafetyStock,,,120.000-,757,12/16/21,9
1,807165907,2,12/14/21,7:19:28,12/13/21,ShipNt,0185532485/F3KXYH3,12/14/21,15,400,1,157.00,12/16/21,9
1,807165907,419,12/14/21,7:19:28,12/16/21,SchAgr,F3KXYH3/00001*,12/15/21,10,80,984,12/16/21,9
1,807165907,0,12/13/21,4:05:00,12/13/21,SafeSt,SafetyStock,,,120.000-,1,035.00,12/15/21,9
1,807165907,680,12/13/21,4:05:00,12/16/21,SchAgr,F3KXYH3/00001,12/15/21,30,80,1,002.00,12/15/21,9
1,807165907,0,01/04/22,7:19:31,01/04/22,SafeSt,SafetyStock,,,120.000-,1,657.00,01/06/22,9
1,807165907,0,01/07/22,7:19:51,01/07/22,SafeSt,SafetyStock,,,120.000-,1,311.00,01/09/22,9
1,807165907,0,01/03/22,4:04:59,01/03/22,SafeSt,SafetyStock,,,120.000-,1,184.00,01/05/22,9
1,807165907,37,01/03/22,4:04:59,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,01/05/22,9
1,807165907,0,01/05/22,7:19:43,01/05/22,SafeSt,SafetyStock,,,120.000-,1,562.00,01/07/22,9
1,807165907,0,12/29/21,7:19:38,12/29/21,SafeSt,SafetyStock,,,120.000-,1,184.00,12/31/21,9
1,807165907,37,12/29/21,7:19:38,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,12/31/21,9
1,807165907,0,02/28/22,4:05:10,02/28/22,SafeSt,SafetyStock,,,120.000-,847,03/02/22,9
1,807165907,7,02/28/22,4:05:10,02/28/22,SchAgr,F3KXYH3/00001*,02/26/22,10,400,1,242.00,03/02/22,9
1,807165907,0,01/31/22,4:05:01,01/31/22,SafeSt,SafetyStock,,,120.000-,1,457.00,02/02/22,9
1,807165907,365,01/31/22,4:05:01,02/01/22,SchAgr,F3KXYH3/00001*,01/31/22,10,400,1,495.00,02/02/22,9
1,807165907,0,01/14/22,7:19:37,01/14/22,SafeSt,SafetyStock,,,120.000-,1,554.00,01/16/22,9
1,807165907,743,01/14/22,7:19:37,01/19/22,SchAgr,F3KXYH3/00001*,01/18/22,10,480,1,697.00,01/16/22,9
1,807165907,0,01/13/22,7:19:40,01/13/22,SafeSt,SafetyStock,,,120.000-,1,028.00,01/15/22,9
1,807165907,284,01/13/22,7:19:40,01/14/22,SchAgr,F3KXYH3/00001*,01/13/22,10,80,827,01/15/22,9
1,807165907,0,01/11/22,7:19:33,01/11/22,SafeSt,SafetyStock,,,120.000-,1,323.00,01/13/22,9
1,807165907,746,01/11/22,7:19:33,01/13/22,SchAgr,F3KXYH3/00001*,01/12/22,10,80,983,01/13/22,9
1,807165907,1148,01/11/22,7:19:33,01/14/22,SchAgr,F3KXYH3/00001,01/13/22,30,80,824,01/13/22,9
1,807165907,0,01/06/22,7:19:36,01/06/22,SafeSt,SafetyStock,,,120.000-,1,403.00,01/08/22,9
1,807165907,0,12/28/21,7:19:24,12/28/21,SafeSt,SafetyStock,,,120.000-,1,184.00,12/30/21,9
1,807165907,37,12/28/21,7:19:24,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,12/30/21,9
1,807165907,0,12/27/21,4:05:01,12/27/21,SafeSt,SafetyStock,,,120.000-,1,184.00,12/29/21,9
1,807165907,37,12/27/21,4:05:01,01/03/22,ShipNt,0185558487/F3KXYH3,01/04/22,15,480,1,630.00,12/29/21,9
1,807165907,0,12/22/21,7:19:49,12/22/21,SafeSt,SafetyStock,,,120.000-,1,203.00,12/24/21,9
1,807165907,0,12/21/21,7:19:56,12/21/21,SafeSt,SafetyStock,,,120.000-,1,061.00,12/23/21,9
1,807165907,337,12/21/21,7:19:56,12/22/21,SchAgr,F3KXYH3/00001*,12/21/21,10,240,967,12/23/21,9
1,807165907,0,02/03/22,7:19:51,02/03/22,SafeSt,SafetyStock,,,120.000-,1,179.00,02/05/22,9
1,807165907,0,01/22/22,7:19:38,01/22/22,SafeSt,SafetyStock,,,120.000-,914,01/24/22,9
1,807165907,0,02/08/22,7:19:32,02/08/22,SafeSt,SafetyStock,,,120.000-,1,456.00,02/10/22,9
1,807165907,339,02/08/22,7:19:32,02/09/22,SchAgr,F3KXYH3/00001*,02/08/22,10,320,1,440.00,02/10/22,9
1,807165907,757,02/08/22,7:19:32,02/10/22,SchAgr,F3KXYH3/00001*,02/09/22,10,80,1,104.00,02/10/22,9
1,807165907,0,02/23/22,7:19:53,02/23/22,SafeSt,SafetyStock,,,120.000-,1,238.00,02/25/22,9
1,807165907,0,02/26/22,7:20:46,02/26/22,SafeSt,SafetyStock,,,120.000-,1,123.00,02/28/22,9
1,807165907,221,02/26/22,7:20:46,02/28/22,SchAgr,F3KXYH3/00001*,02/26/22,10,400,1,305.00,02/28/22,9
1,807165907,986,11/01/21,4:08:35,11/04/21,SchAgr,,,,,,12/03/21,19
