mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,809747903,5,11/04/21,7:23:47,11/11/21,SchAgr,,,,,,12/03/21,19
1,809747903,0,10/28/21,7:20:16,10/28/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,12/01/21,7:19:56,12/01/21,SafeSt,SafetyStock,,,4.000-,8,12/03/21,19
1,809747903,0,11/11/21,7:19:52,11/11/21,SafeSt,SafetyStock,,,4.000-,0,12/03/21,19
1,809747903,0,10/22/21,7:20:32,10/22/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,11/30/21,7:19:59,11/30/21,SafeSt,SafetyStock,,,4.000-,8,12/03/21,19
1,809747903,0,11/16/21,7:19:51,11/16/21,SafeSt,SafetyStock,,,4.000-,5,12/03/21,19
1,809747903,0,11/19/21,7:19:54,11/19/21,SafeSt,SafetyStock,,,4.000-,3,12/03/21,19
1,809747903,0,12/02/21,7:20:02,12/02/21,SafeSt,SafetyStock,,,4.000-,8,12/03/21,19
1,809747903,0,11/18/21,7:20:23,11/18/21,SafeSt,SafetyStock,,,4.000-,4,12/03/21,19
1,809747903,0,11/13/21,7:20:01,11/13/21,SafeSt,SafetyStock,,,4.000-,6,12/03/21,19
1,809747903,0,11/29/21,4:05:15,11/29/21,SafeSt,SafetyStock,,,4.000-,3,12/03/21,19
1,809747903,0,11/22/21,4:05:23,11/22/21,SafeSt,SafetyStock,,,4.000-,3,12/03/21,19
1,809747903,0,11/08/21,4:05:40,11/08/21,SafeSt,SafetyStock,,,4.000-,1,12/03/21,19
1,809747903,3,11/06/21,7:24:11,11/11/21,SchAgr,,,,,,12/03/21,19
1,809747903,0,10/25/21,4:05:49,10/25/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,11/06/21,7:24:11,11/06/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,11/04/21,7:23:47,11/04/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,10/26/21,7:20:32,10/26/21,SafeSt,,,,,,12/03/21,19
1,809747903,3,11/08/21,4:05:40,11/11/21,SchAgr,F399MYK/00001*,11/10/21,10,6,6,12/03/21,19
1,809747903,0,11/15/21,4:05:08,11/15/21,SafeSt,SafetyStock,,,4.000-,6,12/03/21,19
1,809747903,0,11/03/21,7:24:01,11/03/21,SafeSt,,,,,,12/03/21,19
1,809747903,0,11/17/21,7:19:57,11/17/21,SafeSt,SafetyStock,,,4.000-,5,12/03/21,19
1,809747903,2,11/11/21,7:19:52,11/11/21,ShipNt,0185476746/F399MYK,11/10/21,10,6,6,12/03/21,19
1,809747903,0,10/23/21,7:20:14,10/23/21,SafeSt,,,,,,12/03/21,19
