mandt,matnr,aline,cdate,ctime,dat00,delb0,extra,umdat,auskt,mng01,mng02,p_ingestday,p_ingesttime
1,947015904,0,10/23/21,7:21:26,10/23/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,11/06/21,7:26:40,11/06/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,11/09/21,7:21:51,11/09/21,SafeSt,SafetyStock,,,120.000-,521,12/03/21,19
1,947015904,830,11/09/21,7:21:51,11/19/21,SchAgr,F3MNLRH/00001,11/18/21,30,30,333,12/03/21,19
1,947015904,0,11/01/21,4:12:24,11/01/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,10/28/21,7:21:30,10/28/21,SafeSt,,,,,,12/03/21,19
1,947015904,820,11/12/21,7:21:13,11/24/21,SchAgr,F3MNLRH/00001,11/23/21,30,30,204,12/03/21,19
1,947015904,0,12/02/21,7:21:17,12/02/21,SafeSt,SafetyStock,,,120.000-,495,12/03/21,19
1,947015904,0,11/30/21,7:21:07,11/30/21,SafeSt,SafetyStock,,,120.000-,300,12/03/21,19
1,947015904,0,11/05/21,7:26:44,11/05/21,SafeSt,,,,,,12/03/21,19
1,947015904,116,10/27/21,7:21:33,10/29/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,11/13/21,7:21:16,11/13/21,SafeSt,SafetyStock,,,120.000-,624,12/03/21,19
1,947015904,305,10/25/21,4:07:01,10/29/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,11/10/21,7:21:14,11/10/21,SafeSt,SafetyStock,,,120.000-,582,12/03/21,19
1,947015904,524,11/10/21,7:21:14,11/17/21,SchAgr,F3MNLRH/00001*,11/16/21,10,30,391,12/03/21,19
1,947015904,0,10/27/21,7:21:33,10/27/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,10/29/21,7:21:54,10/29/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,11/17/21,7:21:10,11/17/21,SafeSt,SafetyStock,,,120.000-,555,12/03/21,19
1,947015904,228,10/23/21,7:21:26,10/27/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,10/30/21,7:27:09,10/30/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,10/26/21,7:21:47,10/26/21,SafeSt,,,,,,12/03/21,19
1,947015904,333,11/12/21,7:21:13,11/17/21,ShipNt,0185477150/F3MNLRH,11/16/21,10,210,568,12/03/21,19
1,947015904,0,11/03/21,7:26:26,11/03/21,SafeSt,,,,,,12/03/21,19
1,947015904,417,11/11/21,7:21:00,11/17/21,ShipNt,0185477150/F3MNLRH,11/16/21,10,210,569,12/03/21,19
1,947015904,2,12/01/21,7:21:12,12/01/21,ShipNt,0185501856/F3MNLRH,12/04/21,15,120,540,12/03/21,19
1,947015904,798,11/02/21,7:26:56,12/03/21,SchAgr,,,,,,12/03/21,19
1,947015904,0,12/01/21,7:21:12,12/01/21,SafeSt,SafetyStock,,,120.000-,420,12/03/21,19
1,947015904,806,11/02/21,7:26:56,12/10/21,SchAgr,,,,,,12/03/21,19
1,947015904,0,11/08/21,4:06:51,11/08/21,SafeSt,SafetyStock,,,120.000-,603,12/03/21,19
1,947015904,268,11/13/21,7:21:16,11/17/21,ShipNt,0185477150/F3MNLRH,11/16/21,10,210,568,12/03/21,19
1,947015904,171,11/15/21,4:06:19,11/17/21,ShipNt,0185477150/F3MNLRH,11/16/21,10,210,572,12/03/21,19
1,947015904,56,10/28/21,7:21:30,10/29/21,ShipNt,,,,,,12/03/21,19
1,947015904,358,10/22/21,7:21:46,10/27/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,11/29/21,4:06:23,11/29/21,SafeSt,SafetyStock,,,120.000-,342,12/03/21,19
1,947015904,203,10/26/21,7:21:47,10/29/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,11/16/21,7:20:59,11/16/21,SafeSt,SafetyStock,,,120.000-,442,12/03/21,19
1,947015904,814,11/02/21,7:26:56,12/17/21,SchAgr,,,,,,12/03/21,19
1,947015904,0,11/22/21,4:06:35,11/22/21,SafeSt,SafetyStock,,,120.000-,348,12/03/21,19
1,947015904,0,11/11/21,7:21:00,11/11/21,SafeSt,SafetyStock,,,120.000-,774,12/03/21,19
1,947015904,0,11/18/21,7:21:35,11/18/21,SafeSt,SafetyStock,,,120.000-,453,12/03/21,19
1,947015904,0,11/19/21,7:21:03,11/19/21,SafeSt,SafetyStock,,,120.000-,481,12/03/21,19
1,947015904,0,11/04/21,7:26:13,11/04/21,SafeSt,,,,,,12/03/21,19
1,947015904,85,11/16/21,7:20:59,11/17/21,ShipNt,0185477150/F3MNLRH,11/16/21,10,210,569,12/03/21,19
1,947015904,187,10/25/21,4:07:01,10/27/21,ShipNt,,,,,,12/03/21,19
1,947015904,0,11/20/21,7:20:57,11/20/21,SafeSt,SafetyStock,,,120.000-,388,12/03/21,19
1,947015904,0,11/12/21,7:21:13,11/12/21,SafeSt,SafetyStock,,,120.000-,689,12/03/21,19
1,947015904,85,10/26/21,7:21:47,10/27/21,ShipNt,,,,,,12/03/21,19
1,947015904,626,11/09/21,7:21:51,11/17/21,SchAgr,F3MNLRH/00001*,11/16/21,10,180,529,12/03/21,19
1,947015904,0,11/02/21,7:26:56,11/02/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,10/22/21,7:21:46,10/22/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,11/15/21,4:06:19,11/15/21,SafeSt,SafetyStock,,,120.000-,531,12/03/21,19
1,947015904,0,10/25/21,4:07:01,10/25/21,SafeSt,,,,,,12/03/21,19
1,947015904,0,12/03/21,7:21:24,12/03/21,SafeSt,SafetyStock,,,120.000-,428,12/05/21,9
1,947015904,0,12/04/21,7:21:34,12/04/21,SafeSt,SafetyStock,,,120.000-,361,12/06/21,9
1,947015904,0,12/06/21,4:06:21,12/06/21,SafeSt,SafetyStock,,,120.000-,311,12/08/21,9
1,947015904,0,12/07/21,7:21:06,12/07/21,SafeSt,SafetyStock,,,120.000-,240,12/09/21,9
1,947015904,0,12/08/21,7:20:54,12/08/21,SafeSt,SafetyStock,,,120.000-,455,12/10/21,9
1,947015904,0,12/09/21,7:21:08,12/09/21,SafeSt,SafetyStock,,,120.000-,407,12/11/21,9
1,947015904,412,12/09/21,7:21:08,12/22/21,SchAgr,F3MNLRH/00001,12/21/21,30,30,219,12/11/21,9
1,947015904,0,12/10/21,7:21:28,12/10/21,SafeSt,SafetyStock,,,120.000-,361,12/12/21,9
1,947015904,0,12/11/21,7:21:22,12/11/21,SafeSt,SafetyStock,,,120.000-,312,12/13/21,9
1,947015904,0,12/13/21,4:06:30,12/13/21,SafeSt,SafetyStock,,,120.000-,288,12/15/21,9
1,947015904,0,12/14/21,7:20:53,12/14/21,SafeSt,SafetyStock,,,120.000-,213,12/16/21,9
1,947015904,0,12/15/21,7:20:56,12/15/21,SafeSt,SafetyStock,,,120.000-,154,12/17/21,9
1,947015904,0,12/16/21,7:21:20,12/16/21,SafeSt,SafetyStock,,,120.000-,229,12/18/21,9
1,947015904,194,12/16/21,7:21:20,12/22/21,ShipNt,0185539377/F3MNLRH,12/21/21,10,180,428,12/18/21,9
1,947015904,385,12/16/21,7:21:20,01/05/22,SchAgr,F3MNLRH/00001,12/23/21,30,60,298,12/18/21,9
1,947015904,335,12/17/21,7:21:25,01/05/22,SchAgr,F3MNLRH/00001*,12/23/21,10,60,300,12/19/21,9
1,947015904,146,12/17/21,7:21:25,12/22/21,ShipNt,0185539377/F3MNLRH,12/21/21,10,180,428,12/19/21,9
1,947015904,0,12/17/21,7:21:25,12/17/21,SafeSt,SafetyStock,,,120.000-,181,12/19/21,9
1,947015904,286,12/18/21,7:21:28,01/05/22,SchAgr,F3MNLRH/00001*,12/23/21,10,60,291,12/20/21,9
1,947015904,0,12/18/21,7:21:28,12/18/21,SafeSt,SafetyStock,,,120.000-,334,12/20/21,9
1,947015904,88,12/18/21,7:21:28,12/22/21,ShipNt,0185539377/F3MNLRH,12/21/21,10,180,428,12/20/21,9
1,947015904,0,12/20/21,4:06:26,12/20/21,SafeSt,SafetyStock,,,120.000-,309,12/22/21,9
1,947015904,63,12/20/21,4:06:26,12/22/21,ShipNt,0185539377/F3MNLRH,12/21/21,10,180,428,12/22/21,9
1,947015904,255,12/20/21,4:06:26,01/05/22,SchAgr,F3MNLRH/00001*,12/23/21,10,60,297,12/22/21,9
1,947015904,229,12/21/21,7:21:34,01/05/22,SchAgr,F3MNLRH/00001*,12/23/21,10,60,294,12/23/21,9
