mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,72883828,41582264,5.63201E+13,5A11EC403,5000794862,2,1/13/2022,1,PC,200210565,1,MC10,YAIR,101,,21:56:01,V,S,185587960,MUC00318084,1/15/2022,9
1,72883828,41679659,5.63201E+13,5A11EC403,5001038660,5,1/19/2022,1,PC,200211245,1,MC10,YAIR,101,,12:30:06,V,S,185597225,MUC00318910,1/21/2022,9
1,72883828,41679659,5.63201E+13,5A11EC403,5001038660,6,1/19/2022,1,PC,200211245,1,MC10,YAIR,101,,12:30:06,V,S,185597225,MUC00318910,1/21/2022,9
1,72883828,41679659,5.63201E+13,5A11EC403,5001038660,4,1/19/2022,1,PC,200211245,1,MC10,YAIR,101,,12:30:06,V,S,185597225,MUC00318910,1/21/2022,9
1,72883828,41668505,5.63201E+13,5A11EC403,5001102950,8,1/20/2022,1,PC,200210565,1,MC10,YAIR,101,,4:43:27,V,S,185600969,MUC00319120,1/22/2022,9
1,72883828,41668505,5.63201E+13,5A11EC403,5001102950,9,1/20/2022,1,PC,200210565,1,MC10,YAIR,101,,4:43:27,V,S,185600969,MUC00319120,1/22/2022,9
1,72883828,41674433,5.63201E+13,5A11EC403,5001281046,4,1/22/2022,1,PC,200211245,1,MC10,YAIR,101,,3:34:29,V,S,185602960,MUC00319243,1/24/2022,9
1,72883828,41674433,5.63201E+13,5A11EC403,5001281046,3,1/22/2022,1,PC,200211245,1,MC10,YAIR,101,,3:34:29,V,S,185602960,MUC00319243,1/24/2022,9
1,72883828,41674433,5.63201E+13,5A11EC403,5001281046,2,1/22/2022,1,PC,200210079,1,MC10,YAIR,101,,3:34:29,V,S,185602960,MUC00319243,1/24/2022,9
1,72883828,41747016,5.63201E+13,5A11EC403,5001454629,5,1/25/2022,1,PC,200212020,1,MC10,YAIR,101,,3:55:00,V,S,185613107,MUC00320105,1/27/2022,9
1,72883828,41747624,5.63201E+13,5A11EC403,5001455030,1,1/25/2022,1,PC,200212020,1,MC10,YAIR,101,,3:55:03,V,S,185613109,MUC00320105,1/27/2022,9
1,72883828,41747016,5.63201E+13,5A11EC403,5001454629,12,1/25/2022,1,PC,200212020,1,MC10,YAIR,101,,3:55:00,V,S,185613107,MUC00320105,1/27/2022,9
