mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,21420511,2132001,342094,742065710,5022013562,2,10/29/2021,462,PC,3514326,1,MC10,YLC1,101,,10:36:56,X,S,185450363,1129504,12/3/2021,19
1,21420511,2132070,24381,742065710,5022594808,3,11/6/2021,147,PC,3514326,1,MC10,YLC1,101,,3:44:19,X,S,185466936,1132669,12/3/2021,19
1,21420511,2132117,6120275,742065710,5023083806,2,11/12/2021,441,PC,3514326,1,MC10,YLC1,101,,14:01:08,X,S,185480136,1134567,12/3/2021,19
1,21420511,2131959,643088,742065710,5021666540,3,10/25/2021,231,EA,3514326,1,MC10,YLC1,101,,17:01:21,X,S,185437492,1127650,12/3/2021,19
1,21420511,2132139,5160803,742065710,5023372515,3,11/16/2021,210,PC,3514326,1,MC10,YLC1,101,,18:31:46,X,S,185487004,1135773,12/3/2021,19
1,21420511,2132015,5160951,742065710,5022142284,3,11/1/2021,189,PC,3514326,1,MC10,YLC1,101,,1:10:45,X,S,185453382,1130163,12/3/2021,19
1,21420511,2131976,6080161,742065710,5021835841,3,10/27/2021,147,PC,3514326,1,MC10,YLC1,101,,13:07:00,X,S,185444048,1128717,12/3/2021,19
1,21420511,2132050,643264,742065710,5022528433,3,11/5/2021,147,PC,3514326,1,MC10,YLC1,101,,9:45:32,X,S,185463809,1131667,12/3/2021,19
1,21420511,2132106,376047,742065710,5022946675,3,11/11/2021,210,PC,3514326,1,MC10,YLC1,101,,2:26:28,X,S,185477471,1134201,12/3/2021,19
1,21420511,2132208,5140333,742065710,5023956288,1,11/24/2021,168,PC,3514326,1,MC10,YLC1,101,,8:22:10,X,S,185499768,1138511,12/3/2021,19
1,21420511,2131968,5140206,742065710,5021751682,1,10/26/2021,399,PC,3514326,1,MC10,YLC1,101,,15:07:02,X,S,185440894,1128274,12/3/2021,19
1,21420511,2132189,5171232,742065710,5023803017,1,11/22/2021,84,PC,3514326,1,MC10,YLC1,101,,14:37:11,X,S,185497528,1137632,12/3/2021,19
1,21420511,2132246,5150476,742065710,5024241368,1,12/1/2021,63,PC,3514326,1,MC10,YLC1,101,,23:20:36,X,S,185507818,1140029,12/3/2021,19
1,21420511,2132217,643169,742065710,5024032773,1,11/29/2021,42,PC,3514326,1,MC10,YLC1,101,,15:59:44,X,S,185502531,1139024,12/3/2021,19
1,21420511,2132028,5171144,742065710,5022291457,3,11/2/2021,189,PC,3514326,1,MC10,YLC1,101,,19:51:14,X,S,185455801,6028205,12/3/2021,19
1,21420511,2132130,5160577,742065710,5023208979,3,11/15/2021,210,PC,3514326,1,MC10,YLC1,101,,1:54:45,X,S,185483173,1135163,12/3/2021,19
1,21420511,2132092,5160888,742065710,5022901653,3,11/10/2021,126,PC,3514326,1,MC10,YLC1,101,,13:46:21,X,S,185475489,1133724,12/3/2021,19
1,21420511,2132039,6140258,742065710,5022349482,3,11/3/2021,168,PC,3514326,1,MC10,YLC1,101,,10:36:22,X,S,185458934,1131198,12/3/2021,19
1,21420511,2132234,342065,742065710,5024086029,1,11/30/2021,42,PC,3514326,1,MC10,YLC1,101,,7:04:06,X,S,185505902,1139609,12/3/2021,19
1,21420511,2131990,6150528,742065710,5021931559,3,10/28/2021,336,PC,3514326,1,MC10,YLC1,101,,13:47:20,X,S,185447412,1129153,12/3/2021,19
1,21420511,2132083,731033,742065710,5022770063,2,11/9/2021,252,PC,3514326,1,MC10,YLC1,101,,4:53:48,X,S,185471974,1133264,12/3/2021,19
1,21420511,2132061,6150541,742065710,5022514334,2,11/5/2021,483,PC,3514326,1,MC10,YLC1,101,,5:29:27,X,S,185463990,1132005,12/3/2021,19
1,21420511,2132201,6150543,742065710,5023856536,1,11/23/2021,63,PC,3514326,1,MC10,YLC1,101,,4:47:48,X,S,185497899,1138236,12/3/2021,19
1,21420511,2132259,5110014,742065710,5024343755,3,12/3/2021,42,PC,3514326,1,MC10,YLC1,101,,3:43:01,X,S,185510008,1140497,12/5/2021,9
1,21420511,2132268,342096,742065710,5024401798,2,12/3/2021,168,PC,3514326,1,MC10,YLC1,101,,17:19:07,V,S,185511824,1140872,12/5/2021,9
1,21420511,212278,6080163,742065710,5024574350,2,12/6/2021,63,PC,3514326,1,MC10,YLC1,101,,17:41:49,X,S,185513777,1141496,12/8/2021,9
1,21420511,2132287,643014,742065710,5024646628,3,12/7/2021,42,PC,3514326,1,MC10,YLC1,101,,13:40:37,X,S,185517652,1142090,12/9/2021,9
1,21420511,2132296,5160958,742065710,5024737146,3,12/8/2021,63,PC,3514326,1,MC10,YLC1,101,,14:30:53,X,S,185518509,1142537,12/10/2021,9
1,21420511,2132314,376047,742065710,5024818049,3,12/9/2021,63,PC,3514326,1,MC10,YLC1,101,,12:53:18,X,S,185521376,1143006,12/11/2021,9
1,21420511,2132323,23453,742065710,5024899792,2,12/10/2021,84,PC,3514326,1,MC10,YLC1,101,,10:39:10,V,S,185524518,1143371,12/12/2021,9
1,21420511,2132335,5110010,742065710,5025032839,3,12/13/2021,63,PC,3514326,1,MC10,YLC1,101,,4:14:25,X,S,185527404,1143959,12/15/2021,9
1,21420511,2132355,643196,742065710,5025287657,2,12/15/2021,21,PC,3514326,1,MC10,YLC1,101,,23:48:35,X,S,185535938,2132355,12/17/2021,9
1,21420511,2132345,376020,742065710,5025222443,3,12/15/2021,42,PC,3514326,1,MC10,YLC1,101,,5:52:37,X,S,185531449,PUL1200410,12/17/2021,9
1,21420511,2132364,5160595,742065710,5025361640,3,12/16/2021,42,PC,3514326,1,MC10,YLC1,101,,18:58:00,X,S,185537830,1202311,12/18/2021,9
1,21420511,2132379,6080101,742065710,5025451141,3,12/17/2021,147,PC,3514326,1,MC10,YLC1,101,,18:41:30,V,S,185540983,1203611,12/19/2021,9
1,21420511,2132384,376027,742065710,5025596277,3,12/20/2021,105,PC,3514326,1,MC10,YLC1,101,,12:45:23,V,S,185543800,1204201,12/22/2021,9
1,21420511,2132388,643367,742065710,5025656536,3,12/21/2021,147,PC,3514326,1,MC10,YLC1,101,,4:46:08,V,S,185548377,1204950,12/23/2021,9
1,21420511,2132399,376043,742065710,5025814321,3,12/22/2021,105,PC,3514326,1,MC10,YLC1,101,,23:16:11,V,S,185555075,1205703,12/24/2021,9
1,21420511,2132396,5140198,742065710,5025745086,2,12/22/2021,21,PC,3514326,1,MC10,YLC1,101,,4:39:27,X,S,185551668,1205303,12/24/2021,9
1,21420511,2132407,376015,742065710,5000004279,3,1/4/2022,105,PC,3514326,1,MC10,YLC1,101,,4:58:11,X,S,185569134,1206608,1/6/2022,9
1,21420511,2132412,5160598,742065710,5000082094,3,1/5/2022,168,PC,3514326,1,MC10,YLC1,101,,4:27:27,X,S,185572778,1206942,1/7/2022,9
1,21420511,2132422,643164,742065710,5000180055,3,1/6/2022,84,PC,3514326,1,MC10,YLC1,101,,4:36:48,X,S,185575434,1207373,1/8/2022,9
1,21420511,2132435,5171135,742065710,5000283635,3,1/7/2022,294,PC,3514326,1,MC10,YLC1,101,,8:05:40,V,S,185578351,1207727,1/9/2022,9
1,21420511,2132444,5140325,742065710,5000495102,3,1/10/2022,84,PC,3514326,1,MC10,YLC1,101,,19:02:49,X,S,185580113,1208405,1/12/2022,9
