mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,13499111,320634,342094,747096504,5022826956,5,11/9/2021,144,EA,3536617,1,MC10,YLC1,101,,19:19:41,X,S,185474065,1133587,12/3/2021,19
1,13499111,320754,6150535,747096504,5023994638,5,11/24/2021,144,EA,3536617,1,MC10,YLC1,101,,20:48:11,V,S,185501723,1138797,12/3/2021,19
1,13499111,320707,376044,747096504,5023384446,5,11/16/2021,144,EA,3536617,1,MC10,YLC1,101,,22:16:05,X,S,185489888,1136060,12/3/2021,19
1,13499111,320574,5130043,747096504,5022223499,5,11/2/2021,96,EA,3536617,1,MC10,YLC1,101,,0:58:37,X,S,185455455,1130664,12/3/2021,19
1,13499111,320626,5160546,747096504,5022728867,5,11/8/2021,144,EA,3536617,1,MC10,YLC1,101,,18:46:55,X,S,185470494,1133183,12/3/2021,19
1,13499111,320637,5160830,747096504,5022923036,1,11/10/2021,96,EA,3536617,1,MC10,YLC1,101,,20:48:04,X,S,185476761,1134408,12/3/2021,19
1,13499111,320531,5160602,747096504,5021662362,5,10/25/2021,144,EA,3536617,1,MC10,YLC1,101,,16:15:09,X,S,185440825,1128192,12/3/2021,19
1,13499111,320737,643249,747096504,5023823738,4,11/22/2021,96,EA,3536617,1,MC10,YLC1,101,,20:53:37,X,S,185497729,1138159,12/3/2021,19
1,13499111,320569,6130510,747096504,5022045510,4,10/29/2021,240,EA,3536617,1,MC10,YLC1,101,,17:32:15,X,S,185453342,1130412,12/3/2021,19
1,13499111,320664,643252,747096504,5023013503,5,11/11/2021,96,EA,3536617,1,MC10,YLC1,101,,19:36:21,X,S,185480003,1134532,12/3/2021,19
1,13499111,320788,257173,747096504,5024312554,5,12/2/2021,96,EA,3536617,1,MC10,YLC1,101,,16:46:14,X,S,185511803,1140837,12/3/2021,19
1,13499111,320581,342034,747096504,5022281898,5,11/2/2021,144,EA,3536617,1,MC10,YLC1,101,,16:30:39,X,S,185457417,1131066,12/3/2021,19
1,13499111,320612,24633,747096504,5022531435,3,11/5/2021,288,EA,3536617,1,MC10,YLC1,101,,10:44:40,X,S,185465674,1132531,12/3/2021,19
1,13499111,320534,606279,747096504,5021757718,5,10/26/2021,96,EA,3536617,1,MC10,YLC1,101,,16:31:11,X,S,185443891,1128581,12/3/2021,19
1,13499111,320548,6140348,747096504,5021856629,5,10/27/2021,96,EA,3536617,1,MC10,YLC1,101,,20:03:18,X,S,185447215,1129059,12/3/2021,19
1,13499111,320760,5130042,747096504,5024051140,5,11/29/2021,144,EA,3536617,1,MC10,YLC1,101,,21:50:26,V,S,185505889,1139527,12/3/2021,19
1,13499111,320741,5160904,747096504,5023919735,5,11/23/2021,96,EA,3536617,1,MC10,YLC1,101,,22:21:19,X,S,185499732,1138386,12/3/2021,19
1,13499111,320695,5160597,747096504,5023277356,4,11/15/2021,96,EA,3536617,1,MC10,YLC1,101,,20:00:06,X,S,185486886,1135692,12/3/2021,19
1,13499111,320559,606268,747096504,5021963950,5,10/28/2021,144,EA,3536617,1,MC10,YLC1,101,,22:45:20,X,S,185450307,1129464,12/3/2021,19
1,13499111,320768,6080161,747096504,5024145550,5,11/30/2021,96,EA,3536617,1,MC10,YLC1,101,,22:23:30,V,S,185507773,1139898,12/3/2021,19
1,13499111,320779,5160570,747096504,5024216267,5,12/1/2021,96,EA,3536617,1,MC10,YLC1,101,,15:53:36,V,S,185509918,1140397,12/3/2021,19
1,13499111,320600,643220,747096504,5022470393,5,11/4/2021,96,EA,3536617,1,MC10,YLC1,101,,17:15:22,X,S,185463039,1131967,12/3/2021,19
1,13499111,320670,6150522,747096504,5023101396,5,11/12/2021,288,EA,3536617,1,MC10,YLC1,101,,19:34:34,X,S,185482950,1135033,12/3/2021,19
