mandt,lifnr,delnote,trailer,matnr,mblnr,itmno,erdat,erfmg,meins,ebeln,ebelp,werks,lgort,bwart,rct_ident,crttime,status,shkzg,vbeln,bolnr,p_ingestday,p_ingesttime
1,22067010,80807044,52219,748948206,5023204378,12,11/15/2021,30,EA,F3LRNHF,1,MC10,YLC1,101,,0:44:53,X,S,185475618,11922935,12/3/2021,19
1,22067010,80817254,12249,748948206,5000214154,15,1/6/2022,30,EA,F3LRNHF,1,MC10,YLC1,101,,12:57:45,V,S,185559936,12134533,1/8/2022,9
1,22067010,80821285,52134,748948206,5001338745,11,1/23/2022,30,EA,F3LRNHF,1,MC10,YLC1,101,,22:13:59,V,S,185604577,12225004,1/25/2022,13
1,22067010,80829031,58891S,748948206,5003718092,2,2/23/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,23:35:54,X,S,185685099,12410948,2/25/2022,9
1,22067010,80836705,58536S,748948206,5006262557,11,3/30/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,0:53:45,V,S,185766287,12575640,4/4/2022,14
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,4/27/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/2/2022,15
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/3/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/4/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/5/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/6/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/7/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/8/2022,9
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/9/2022,13
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/10/2022,13
1,22067010,80841379,12041,748948206,5008067833,2,4/25/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:08:06,V,S,185819822,12694473,5/11/2022,9
1,22067010,80845245,58704S,748948206,5009536859,2,5/13/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:21:29,V,S,185864933,12763852,5/15/2022,9
1,22067010,80845245,58704S,748948206,5009536859,2,5/13/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:21:29,V,S,185864933,12763852,5/16/2022,9
1,22067010,80845245,58704S,748948206,5009536859,2,5/13/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:21:29,V,S,185864933,12763852,5/17/2022,13
1,22067010,80845245,58704S,748948206,5009536859,2,5/13/2022,30,PC,F3LRNHF,1,MC10,YLC1,101,,20:21:29,V,S,185864933,12763852,5/18/2022,9
